year_bin,anomaly,eccentricity,obliquity,perihelion,insolation,global_insolation,delta_eccentricity,delta_obliquity,delta_perihelion,delta_insolation,delta_global_insolation,perihelion_lagged_20,perihelion_lagged_50,eccentricity_lagged_20,eccentricity_lagged_50,obliquity_lagged_20,obliquity_lagged_50,insolation_lagged_20,insolation_lagged_50
56000,0.0,-1.102,-1.195,-0.736,-1.042,-0.956,0.399,1.126,0.384,0.243,0.136,-1.715,-0.563,-1.427,-0.94,-0.963,1.761,-0.559,0.279
58000,0.0,-1.102,-0.789,-0.389,-0.69,-0.943,-0.041,1.314,0.379,0.666,0.089,-1.308,-0.278,-1.549,-0.94,-0.558,1.297,-0.527,0.273
60000,0.0,-1.021,-0.268,-0.044,-0.175,-0.931,0.839,1.69,0.377,0.978,0.089,-0.887,0.015,-1.63,-0.94,-0.21,0.601,-0.336,0.273
62000,0.0,-1.021,0.312,0.295,0.397,-0.914,-0.041,1.877,0.371,1.087,0.136,-0.438,0.313,-1.752,-0.94,0.254,-0.094,-0.036,0.255
64000,0.0,-0.98,0.833,0.633,0.905,-0.897,0.399,1.69,0.368,0.964,0.136,0.068,0.621,-1.833,-0.859,0.601,-0.789,0.275,0.167
66000,0.0,-0.94,1.355,0.968,1.24,-0.88,0.399,1.69,0.367,0.633,0.136,0.663,0.936,-1.874,-0.859,0.891,-1.485,0.504,0.005
68000,0.0,-0.94,1.761,1.299,1.335,-0.872,-0.041,1.314,0.362,0.175,0.041,1.341,1.263,-1.915,-0.777,1.123,-1.949,0.6,-0.281
70000,0.0,-0.859,1.992,1.629,1.187,-0.855,0.839,0.75,0.361,-0.287,0.136,0.028,1.597,-1.833,-0.777,1.297,-2.18,0.564,-0.642
72000,0.0,-0.859,1.992,0.03,0.858,-0.842,-0.041,-0.001,-1.753,-0.634,0.089,-1.382,-0.631,-1.793,-0.696,1.297,-2.18,0.449,-1.025
74000,0.0,-0.859,1.934,-1.568,0.444,-0.83,-0.041,-0.189,-1.753,-0.797,0.089,-0.939,-1.572,-1.712,-0.615,1.239,-1.949,0.328,-1.336
76000,0.0,-0.859,1.529,-1.238,0.053,-0.821,-0.041,-1.316,0.361,-0.751,0.041,-0.528,-1.221,-1.63,-0.615,1.007,-1.601,0.252,-1.424
78000,0.0,-0.777,1.065,-0.907,-0.225,-0.813,0.839,-1.504,0.361,-0.537,0.041,-0.139,-0.872,-1.549,-0.534,0.659,-1.021,0.232,-1.277
80000,0.0,-0.777,0.486,-0.573,-0.352,-0.809,-0.041,-1.88,0.365,-0.249,-0.006,0.24,-0.396,-1.508,-0.534,0.254,-0.137,0.238,-0.557
82000,0.0,-0.777,-0.152,-0.238,-0.343,-0.8,-0.041,-2.068,0.367,0.013,0.041,0.613,-0.018,-1.427,-0.503,-0.21,0.558,0.21,0.226
84000,0.0,-0.777,-0.789,0.102,-0.255,-0.8,-0.041,-2.068,0.371,0.162,-0.054,0.979,0.331,-1.387,-0.452,-0.616,1.123,0.089,0.958
86000,0.0,-0.777,-1.369,0.443,-0.176,-0.804,-0.041,-1.88,0.373,0.145,-0.101,1.343,0.681,-1.346,-0.452,-1.021,1.543,-0.147,1.494
88000,0.0,-0.777,-1.833,0.784,-0.181,-0.809,-0.041,-1.504,0.373,-0.016,-0.101,1.702,1.031,-1.265,-0.463,-1.311,1.804,-0.473,1.692
90000,0.0,-0.818,-2.065,1.126,-0.304,-0.817,-0.482,-0.753,0.374,-0.24,-0.149,-1.793,1.384,-1.224,-0.534,-1.543,1.877,-0.817,1.51
92000,0.0,-0.859,-2.122,1.465,-0.522,-0.826,-0.482,-0.189,0.371,-0.422,-0.149,-1.438,1.016,-1.184,-0.534,-1.601,1.732,-1.08,1.028
94000,0.0,-0.859,-1.949,1.8,-0.765,-0.834,-0.041,0.562,0.366,-0.47,-0.149,-1.087,-1.759,-1.143,-0.574,-1.543,1.456,-1.172,0.413
96000,0.0,-0.859,-1.601,-1.725,-0.945,-0.847,-0.041,1.126,-3.865,-0.348,-0.196,-0.736,-1.398,-1.102,-0.615,-1.195,1.065,-1.042,-0.15
98000,0.0,-0.859,-1.079,-1.405,-0.988,-0.855,-0.041,1.69,0.35,-0.089,-0.149,-0.389,-1.034,-1.102,-0.696,-0.789,0.558,-0.69,-0.516
100000,0.0,-0.94,-0.5,-1.09,-0.862,-0.863,-0.922,1.877,0.344,0.237,-0.149,-0.044,-0.572,-1.021,-0.773,-0.268,-0.093,-0.175,-0.624
102000,0.0,-0.94,0.08,-0.785,-0.569,-0.868,-0.041,1.877,0.334,0.553,-0.101,0.295,-0.369,-1.021,-0.8,0.312,-0.368,0.397,-0.566
104000,0.0,-0.94,0.717,-0.488,-0.151,-0.876,-0.041,2.065,0.325,0.793,-0.149,0.633,-0.178,-0.98,-0.859,0.833,-0.558,0.905,-0.474
106000,0.0,-0.94,1.181,-0.193,0.334,-0.868,-0.041,1.502,0.321,0.919,0.041,0.968,0.198,-0.94,-0.94,1.355,-1.021,1.24,-0.269
108000,0.0,-0.899,1.587,0.097,0.817,-0.855,0.399,1.314,0.317,0.918,0.089,1.299,0.578,-0.94,-1.021,1.761,-1.311,1.335,-0.134
110000,0.0,-0.859,1.819,0.387,1.232,-0.838,0.399,0.75,0.317,0.785,0.136,1.629,0.962,-0.859,-1.143,1.992,-1.369,1.187,-0.138
112000,0.0,-0.818,1.877,0.677,1.508,-0.813,0.399,0.187,0.317,0.523,0.232,0.03,1.349,-0.859,-1.224,1.992,-1.369,0.858,-0.272
114000,0.0,-0.737,1.819,0.972,1.587,-0.775,0.839,-0.189,0.322,0.145,0.374,-1.568,1.742,-0.859,-1.346,1.934,-1.195,0.444,-0.449
116000,0.0,-0.656,1.645,1.273,1.424,-0.729,0.839,-0.565,0.33,-0.317,0.469,-1.238,-1.715,-0.859,-1.427,1.529,-0.963,0.053,-0.559
118000,0.0,-0.574,1.297,1.581,1.013,-0.674,0.839,-1.128,0.336,-0.79,0.564,-0.907,-1.308,-0.777,-1.549,1.065,-0.558,-0.225,-0.527
120000,0.0,-0.493,0.833,-0.031,0.404,-0.615,0.839,-1.504,-1.768,-1.167,0.612,-0.573,-0.887,-0.777,-1.63,0.486,-0.21,-0.352,-0.336
122000,0.0,-0.371,0.37,-1.636,-0.291,-0.539,1.279,-1.504,-1.76,-1.333,0.802,-0.238,-0.438,-0.777,-1.752,-0.152,0.254,-0.343,-0.036
124000,0.0,-0.29,-0.21,-1.307,-0.921,-0.459,0.839,-1.88,0.36,-1.209,0.85,0.102,0.068,-0.777,-1.833,-0.789,0.601,-0.255,0.275
126000,0.0,-0.168,-0.674,-0.971,-1.331,-0.375,1.279,-1.504,0.368,-0.787,0.897,0.443,0.663,-0.777,-1.874,-1.369,0.891,-0.176,0.504
128000,0.0,-0.087,-1.079,-0.63,-1.41,-0.286,0.839,-1.316,0.373,-0.158,0.945,0.784,1.341,-0.777,-1.915,-1.833,1.123,-0.181,0.6
130000,0.0,0.035,-1.427,-0.282,-1.137,-0.189,1.279,-1.128,0.38,0.517,1.04,1.126,0.028,-0.818,-1.833,-2.065,1.297,-0.304,0.564
132000,0.0,0.116,-1.601,0.069,-0.594,-0.097,0.839,-0.565,0.384,1.03,0.992,1.465,-1.382,-0.859,-1.793,-2.122,1.297,-0.522,0.449
134000,0.0,0.238,-1.601,0.422,0.035,0.0,1.279,-0.001,0.386,1.195,1.04,1.8,-0.939,-0.859,-1.712,-1.949,1.239,-0.765,0.328
136000,0.0,0.319,-1.543,0.776,0.523,0.089,0.839,0.187,0.388,0.926,0.945,-1.725,-0.528,-0.859,-1.63,-1.601,1.007,-0.945,0.252
138000,0.0,0.4,-1.311,1.131,0.684,0.177,0.839,0.75,0.388,0.303,0.945,-1.405,-0.139,-0.859,-1.549,-1.079,0.659,-0.988,0.232
140000,0.0,0.482,-0.963,1.486,0.457,0.257,0.839,1.126,0.388,-0.44,0.85,-1.09,0.24,-0.94,-1.508,-0.5,0.254,-0.862,0.238
142000,0.0,0.522,-0.558,-0.088,-0.063,0.329,0.399,1.314,-1.726,-0.998,0.755,-0.785,0.613,-0.94,-1.427,0.08,-0.21,-0.569,0.21
144000,0.0,0.604,-0.094,-1.663,-0.658,0.388,0.839,1.502,-1.728,-1.142,0.612,-0.488,0.979,-0.94,-1.387,0.717,-0.616,-0.151,0.089
146000,0.0,0.604,0.37,-1.313,-1.082,0.438,-0.041,1.502,0.382,-0.816,0.517,-0.193,1.343,-0.94,-1.346,1.181,-1.021,0.334,-0.147
148000,0.0,0.685,0.833,-0.966,-1.147,0.472,0.839,1.502,0.38,-0.13,0.327,0.097,1.702,-0.899,-1.265,1.587,-1.311,0.817,-0.473
150000,0.0,0.685,1.123,-0.62,-0.782,0.501,-0.041,0.938,0.378,0.692,0.279,0.387,-1.793,-0.859,-1.224,1.819,-1.543,1.232,-0.817
152000,0.0,0.685,1.355,-0.277,-0.057,0.518,-0.041,0.75,0.375,1.378,0.136,0.677,-1.438,-0.818,-1.184,1.877,-1.601,1.508,-1.08
154000,0.0,0.685,1.529,0.064,0.83,0.522,-0.041,0.562,0.372,1.689,-0.006,0.972,-1.087,-0.737,-1.143,1.819,-1.543,1.587,-1.172
156000,0.0,0.685,1.471,0.404,1.615,0.518,-0.041,-0.189,0.372,1.494,-0.101,1.273,-0.736,-0.656,-1.102,1.645,-1.195,1.424,-1.042
158000,0.0,0.685,1.239,0.743,2.04,0.501,-0.041,-0.753,0.37,0.806,-0.244,1.581,-0.389,-0.574,-1.102,1.297,-0.789,1.013,-0.69
160000,0.0,0.685,0.949,1.082,1.952,0.476,-0.041,-0.94,0.37,-0.174,-0.339,-0.031,-0.044,-0.493,-1.021,0.833,-0.268,0.404,-0.175
162000,0.0,0.604,0.601,1.42,1.363,0.447,-0.922,-1.128,0.37,-1.131,-0.387,-1.636,0.295,-0.371,-1.021,0.37,0.312,-0.291,0.397
164000,0.0,0.604,0.138,1.758,0.437,0.405,-0.041,-1.504,0.37,-1.773,-0.529,-1.307,0.633,-0.29,-0.98,-0.21,0.833,-0.921,0.905
166000,0.0,0.563,-0.326,-1.755,-0.569,0.367,-0.482,-1.504,-3.852,-1.927,-0.482,-0.971,0.968,-0.168,-0.94,-0.674,1.355,-1.331,1.24
168000,0.0,0.522,-0.789,-1.415,-1.393,0.32,-0.482,-1.504,0.372,-1.578,-0.577,-0.63,1.299,-0.087,-0.94,-1.079,1.761,-1.41,1.335
170000,0.0,0.482,-1.079,-1.073,-1.843,0.274,-0.482,-0.94,0.374,-0.865,-0.577,-0.282,1.629,0.035,-0.859,-1.427,1.992,-1.137,1.187
172000,0.0,0.441,-1.311,-0.733,-1.838,0.236,-0.482,-0.753,0.372,0.004,-0.482,0.069,0.03,0.116,-0.859,-1.601,1.992,-0.594,0.858
174000,0.0,0.441,-1.369,-0.392,-1.41,0.194,-0.041,-0.189,0.372,0.812,-0.529,0.422,-1.568,0.238,-0.859,-1.601,1.934,0.035,0.444
176000,0.0,0.36,-1.253,-0.054,-0.692,0.16,-0.922,0.375,0.369,1.366,-0.434,0.776,-1.238,0.319,-0.859,-1.543,1.529,0.523,0.053
178000,0.0,0.36,-1.021,0.28,0.115,0.131,-0.041,0.75,0.366,1.535,-0.387,1.131,-0.907,0.4,-0.777,-1.311,1.065,0.684,-0.225
180000,0.0,0.36,-0.674,0.613,0.801,0.101,-0.041,1.126,0.363,1.304,-0.387,1.486,-0.573,0.482,-0.777,-0.963,0.486,0.457,-0.352
182000,0.0,0.279,-0.21,0.941,1.2,0.08,-0.922,1.502,0.359,0.756,-0.291,-0.088,-0.238,0.522,-0.777,-0.558,-0.152,-0.063,-0.343
184000,0.0,0.279,0.196,1.267,1.236,0.063,-0.041,1.314,0.356,0.063,-0.244,-1.663,0.102,0.604,-0.777,-0.094,-0.789,-0.658,-0.255
186000,0.0,0.279,0.601,1.589,0.943,0.046,-0.041,1.314,0.353,-0.565,-0.244,-1.313,0.443,0.604,-0.777,0.37,-1.369,-1.082,-0.176
188000,0.0,0.279,0.949,-0.017,0.441,0.034,-0.041,1.126,-1.762,-0.964,-0.196,-0.966,0.784,0.685,-0.777,0.833,-1.833,-1.147,-0.181
190000,0.0,0.279,1.181,-1.624,-0.11,0.025,-0.041,0.75,-1.763,-1.057,-0.149,-0.62,1.126,0.685,-0.818,1.123,-2.065,-0.782,-0.304
192000,0.0,0.279,1.297,-1.305,-0.547,0.025,-0.041,0.375,0.349,-0.839,-0.054,-0.277,1.465,0.685,-0.859,1.355,-2.122,-0.057,-0.522
194000,0.0,0.279,1.239,-0.985,-0.75,0.021,-0.041,-0.189,0.349,-0.394,-0.101,0.064,1.8,0.685,-0.859,1.529,-1.949,0.83,-0.765
196000,0.0,0.279,1.007,-0.665,-0.674,0.025,-0.041,-0.753,0.35,0.141,-0.006,0.404,-1.725,0.685,-0.859,1.471,-1.601,1.615,-0.945
198000,0.0,0.279,0.775,-0.344,-0.344,0.034,-0.041,-0.753,0.351,0.624,0.041,0.743,-1.405,0.685,-0.859,1.239,-1.079,2.04,-0.988
200000,0.0,0.279,0.428,-0.02,0.138,0.042,-0.041,-1.128,0.354,0.916,0.041,1.082,-1.09,0.685,-0.94,0.949,-0.5,1.952,-0.862
202000,0.0,0.279,0.022,0.304,0.617,0.046,-0.041,-1.316,0.355,0.909,-0.006,1.42,-0.785,0.604,-0.94,0.601,0.08,1.363,-0.569
204000,0.0,0.279,-0.384,0.631,0.927,0.055,-0.041,-1.316,0.357,0.585,0.041,1.758,-0.488,0.604,-0.94,0.138,0.717,0.437,-0.151
206000,0.0,0.279,-0.732,0.959,0.944,0.068,-0.041,-1.128,0.359,0.028,0.089,-1.755,-0.193,0.563,-0.94,-0.326,1.181,-0.569,0.334
208000,0.0,0.279,-1.079,1.289,0.628,0.072,-0.041,-1.128,0.36,-0.609,-0.006,-1.415,0.097,0.522,-0.899,-0.789,1.587,-1.393,0.817
210000,0.0,0.279,-1.253,1.62,0.044,0.089,-0.041,-0.565,0.362,-1.12,0.136,-1.073,0.387,0.482,-0.859,-1.079,1.819,-1.843,1.232
212000,0.0,0.36,-1.253,0.024,-0.651,0.101,0.839,-0.001,-1.75,-1.334,0.089,-0.733,0.677,0.441,-0.818,-1.311,1.877,-1.838,1.508
214000,0.0,0.36,-1.195,-1.572,-1.273,0.114,-0.041,0.187,-1.75,-1.192,0.089,-0.392,0.972,0.441,-0.737,-1.369,1.819,-1.41,1.587
216000,0.0,0.36,-1.079,-1.241,-1.648,0.143,-0.041,0.375,0.362,-0.723,0.279,-0.054,1.273,0.36,-0.656,-1.253,1.645,-0.692,1.424
218000,0.0,0.4,-0.732,-0.911,-1.661,0.173,0.399,1.126,0.361,-0.029,0.279,0.28,1.581,0.36,-0.574,-1.021,1.297,0.115,1.013
220000,0.0,0.441,-0.384,-0.582,-1.279,0.211,0.399,1.126,0.36,0.724,0.374,0.613,-0.031,0.36,-0.493,-0.674,0.833,0.801,0.404
222000,0.0,0.441,0.022,-0.254,-0.563,0.253,-0.041,1.314,0.358,1.362,0.422,0.941,-1.636,0.279,-0.371,-0.21,0.37,1.2,-0.291
224000,0.0,0.522,0.37,0.073,0.347,0.303,0.839,1.126,0.357,1.731,0.517,1.267,-1.307,0.279,-0.29,0.196,-0.21,1.236,-0.921
226000,0.0,0.563,0.775,0.399,1.242,0.362,0.399,1.314,0.357,1.703,0.612,1.589,-0.971,0.279,-0.168,0.601,-0.674,0.943,-1.331
228000,0.0,0.604,1.065,0.725,1.894,0.421,0.399,0.938,0.356,1.24,0.612,-0.017,-0.63,0.279,-0.087,0.949,-1.079,0.441,-1.41
230000,0.0,0.685,1.297,1.052,2.127,0.493,0.839,0.75,0.357,0.439,0.755,-1.624,-0.282,0.279,0.035,1.181,-1.427,-0.11,-1.137
232000,0.0,0.725,1.413,1.38,1.868,0.565,0.399,0.375,0.358,-0.5,0.755,-1.305,0.069,0.279,0.116,1.297,-1.601,-0.547,-0.594
234000,0.0,0.807,1.413,1.709,1.181,0.64,0.839,-0.001,0.36,-1.317,0.802,-0.985,0.422,0.279,0.238,1.239,-1.601,-0.75,0.035
236000,0.0,0.847,1.297,-1.813,0.26,0.716,0.399,-0.377,-3.862,-1.765,0.802,-0.665,0.776,0.279,0.319,1.007,-1.543,-0.674,0.523
238000,0.0,0.928,1.123,-1.48,-0.639,0.792,0.839,-0.565,0.364,-1.722,0.802,-0.344,1.131,0.279,0.4,0.775,-1.311,-0.344,0.684
240000,0.0,0.969,0.775,-1.142,-1.274,0.868,0.399,-1.128,0.369,-1.218,0.802,-0.02,1.486,0.279,0.482,0.428,-0.963,0.138,0.457
242000,0.0,1.01,0.37,-0.802,-1.477,0.939,0.399,-1.316,0.372,-0.393,0.755,0.304,-0.088,0.279,0.522,0.022,-0.558,0.617,-0.063
244000,0.0,1.091,-0.094,-0.459,-1.206,1.003,0.839,-1.504,0.376,0.512,0.66,0.631,-1.663,0.279,0.604,-0.384,-0.094,0.927,-0.658
246000,0.0,1.091,-0.558,-0.112,-0.566,1.062,-0.041,-1.504,0.38,1.218,0.612,0.959,-1.313,0.279,0.604,-0.732,0.37,0.944,-1.082
248000,0.0,1.172,-1.021,0.239,0.215,1.108,0.839,-1.504,0.383,1.485,0.469,1.289,-0.966,0.279,0.685,-1.079,0.833,0.628,-1.147
250000,0.0,1.172,-1.311,0.593,0.838,1.142,-0.041,-0.94,0.387,1.184,0.327,1.62,-0.62,0.279,0.685,-1.253,1.123,0.044,-0.782
252000,0.0,1.172,-1.543,0.95,1.037,1.163,-0.041,-0.753,0.39,0.375,0.184,0.024,-0.277,0.36,0.685,-1.253,1.355,-0.651,-0.057
254000,0.0,1.172,-1.717,1.309,0.707,1.163,-0.041,-0.565,0.392,-0.636,-0.054,-1.572,0.064,0.36,0.685,-1.195,1.529,-1.273,0.83
256000,0.0,1.172,-1.659,1.669,-0.044,1.154,-0.041,0.187,0.393,-1.439,-0.149,-1.241,0.404,0.36,0.685,-1.079,1.471,-1.648,1.615
258000,0.0,1.172,-1.427,-1.826,-0.942,1.129,-0.041,0.75,-3.832,-1.72,-0.339,-0.911,0.743,0.4,0.685,-0.732,1.239,-1.661,2.04
260000,0.0,1.132,-1.021,-1.467,-1.656,1.083,-0.482,1.314,0.392,-1.369,-0.577,-0.582,1.082,0.441,0.685,-0.384,0.949,-1.279,1.952
262000,0.0,1.091,-0.558,-1.112,-1.923,1.024,-0.482,1.502,0.389,-0.516,-0.719,-0.254,1.42,0.441,0.604,0.022,0.601,-0.563,1.363
264000,0.0,1.01,-0.094,-0.759,-1.632,0.956,-0.922,1.502,0.386,0.55,-0.815,0.073,1.758,0.522,0.604,0.37,0.138,0.347,0.437
266000,0.0,0.969,0.428,-0.409,-0.843,0.868,-0.482,1.69,0.382,1.502,-1.052,0.399,-1.755,0.563,0.563,0.775,-0.326,1.242,-0.569
268000,0.0,0.888,0.949,-0.063,0.239,0.767,-0.922,1.69,0.379,2.061,-1.195,0.725,-1.415,0.604,0.522,1.065,-0.789,1.894,-1.393
270000,0.0,0.807,1.297,0.28,1.309,0.657,-0.922,1.126,0.375,2.037,-1.29,1.052,-1.073,0.685,0.482,1.297,-1.079,2.127,-1.843
272000,0.0,0.725,1.587,0.62,2.065,0.539,-0.922,0.938,0.371,1.437,-1.385,1.38,-0.733,0.725,0.441,1.413,-1.311,1.868,-1.838
274000,0.0,0.604,1.761,0.958,2.312,0.417,-1.362,0.562,0.369,0.466,-1.433,1.709,-0.392,0.807,0.441,1.413,-1.369,1.181,-1.41
276000,0.0,0.482,1.703,1.294,2.02,0.291,-1.362,-0.189,0.367,-0.562,-1.48,-1.813,-0.054,0.847,0.36,1.297,-1.253,0.26,-0.692
278000,0.0,0.4,1.471,1.628,1.324,0.169,-0.922,-0.753,0.365,-1.336,-1.433,-1.48,0.28,0.928,0.36,1.123,-1.021,-0.639,0.115
280000,0.0,0.279,1.239,0.034,0.455,0.055,-1.362,-0.753,-1.748,-1.663,-1.338,-1.142,0.613,0.969,0.36,0.775,-0.674,-1.274,0.801
282000,0.0,0.157,0.833,-1.562,-0.349,-0.063,-1.362,-1.316,-1.751,-1.541,-1.385,-0.802,0.941,1.01,0.279,0.37,-0.21,-1.477,1.2
284000,0.0,0.076,0.37,-1.233,-0.916,-0.168,-0.922,-1.504,0.36,-1.09,-1.242,-0.459,1.267,1.091,0.279,-0.094,0.196,-1.206,1.236
286000,0.0,-0.046,-0.094,-0.905,-1.167,-0.265,-1.362,-1.504,0.358,-0.484,-1.147,-0.112,1.589,1.091,0.279,-0.558,0.601,-0.566,0.943
288000,0.0,-0.168,-0.558,-0.58,-1.115,-0.358,-1.362,-1.504,0.355,0.095,-1.1,0.239,-0.017,1.172,0.279,-1.021,0.949,0.215,0.441
290000,0.0,-0.249,-0.963,-0.257,-0.845,-0.434,-0.922,-1.316,0.353,0.509,-0.91,0.593,-1.624,1.172,0.279,-1.311,1.181,0.838,-0.11
292000,0.0,-0.331,-1.195,0.061,-0.474,-0.497,-0.922,-0.753,0.349,0.703,-0.767,0.95,-1.305,1.172,0.279,-1.543,1.297,1.037,-0.547
294000,0.0,-0.412,-1.369,0.378,-0.117,-0.556,-0.922,-0.565,0.346,0.676,-0.719,1.309,-0.985,1.172,0.279,-1.717,1.239,0.707,-0.75
296000,0.0,-0.452,-1.369,0.69,0.136,-0.598,-0.482,-0.001,0.341,0.478,-0.529,1.669,-0.665,1.172,0.279,-1.659,1.007,-0.044,-0.674
298000,0.0,-0.534,-1.311,1.001,0.241,-0.632,-0.922,0.187,0.339,0.196,-0.434,-1.826,-0.344,1.172,0.279,-1.427,0.775,-0.942,-0.344
300000,0.0,-0.534,-1.079,1.309,0.195,-0.653,-0.041,0.75,0.337,-0.093,-0.291,-1.467,-0.02,1.132,0.279,-1.021,0.428,-1.656,0.138
302000,0.0,-0.534,-0.789,1.615,0.025,-0.665,-0.041,0.938,0.335,-0.331,-0.196,-1.112,0.304,1.091,0.279,-0.558,0.022,-1.923,0.617
304000,0.0,-0.615,-0.442,-0.005,-0.215,-0.674,-0.922,1.126,-1.777,-0.464,-0.149,-0.759,0.631,1.01,0.279,-0.094,-0.384,-1.632,0.927
306000,0.0,-0.534,-0.094,-1.626,-0.452,-0.665,0.839,1.126,-1.778,-0.458,0.041,-0.409,0.959,0.969,0.279,0.428,-0.732,-0.843,0.944
308000,0.0,-0.534,0.196,-1.318,-0.613,-0.653,-0.041,0.938,0.337,-0.313,0.089,-0.063,1.289,0.888,0.279,0.949,-1.079,0.239,0.628
310000,0.0,-0.534,0.544,-1.009,-0.631,-0.636,-0.041,1.126,0.339,-0.04,0.136,0.28,1.62,0.807,0.279,1.297,-1.253,1.309,0.044
312000,0.0,-0.493,0.775,-0.698,-0.465,-0.615,0.399,0.75,0.34,0.311,0.184,0.62,0.024,0.725,0.36,1.587,-1.253,2.065,-0.651
314000,0.0,-0.452,0.891,-0.384,-0.122,-0.594,0.399,0.375,0.344,0.65,0.184,0.958,-1.572,0.604,0.36,1.761,-1.195,2.312,-1.273
316000,0.0,-0.452,0.949,-0.067,0.34,-0.573,-0.041,0.187,0.346,0.876,0.184,1.294,-1.241,0.482,0.36,1.703,-1.079,2.02,-1.648
318000,0.0,-0.412,0.949,0.253,0.816,-0.552,0.399,-0.001,0.35,0.904,0.184,1.628,-0.911,0.4,0.4,1.471,-0.732,1.324,-1.661
320000,0.0,-0.371,0.891,0.576,1.174,-0.526,0.399,-0.189,0.353,0.679,0.232,0.034,-0.582,0.279,0.441,1.239,-0.384,0.455,-1.279
322000,0.0,-0.371,0.775,0.901,1.298,-0.51,-0.041,-0.377,0.355,0.23,0.136,-1.562,-0.254,0.157,0.441,0.833,0.022,-0.349,-0.563
324000,0.0,-0.29,0.544,1.23,1.123,-0.484,0.839,-0.753,0.359,-0.338,0.232,-1.233,0.073,0.076,0.522,0.37,0.37,-0.916,0.347
326000,0.0,-0.29,0.312,1.561,0.669,-0.463,-0.041,-0.753,0.362,-0.872,0.184,-0.905,0.399,-0.046,0.563,-0.094,0.775,-1.167,1.242
328000,0.0,-0.29,0.022,-0.032,0.037,-0.442,-0.041,-0.94,-1.747,-1.212,0.184,-0.58,0.725,-0.168,0.604,-0.558,1.065,-1.115,1.894
330000,0.0,-0.209,-0.268,-1.622,-0.613,-0.417,0.839,-0.94,-1.744,-1.248,0.232,-0.257,1.052,-0.249,0.685,-0.963,1.297,-0.845,2.127
332000,0.0,-0.209,-0.5,-1.283,-1.117,-0.4,-0.041,-0.753,0.37,-0.967,0.136,0.061,1.38,-0.331,0.725,-1.195,1.413,-0.474,1.868
334000,0.0,-0.209,-0.732,-0.941,-1.342,-0.383,-0.041,-0.753,0.374,-0.436,0.136,0.378,1.709,-0.412,0.807,-1.369,1.413,-0.117,1.181
336000,0.0,-0.168,-0.847,-0.598,-1.231,-0.362,0.399,-0.377,0.376,0.208,0.184,0.69,-1.813,-0.452,0.847,-1.369,1.297,0.136,0.26
338000,0.0,-0.128,-0.905,-0.252,-0.814,-0.35,0.399,-0.189,0.378,0.791,0.089,1.001,-1.48,-0.534,0.928,-1.311,1.123,0.241,-0.639
340000,0.0,-0.128,-0.789,0.096,-0.211,-0.333,-0.041,0.375,0.38,1.145,0.136,1.309,-1.142,-0.534,0.969,-1.079,0.775,0.195,-1.274
342000,0.0,-0.128,-0.674,0.444,0.398,-0.32,-0.041,0.375,0.381,1.158,0.089,1.615,-0.802,-0.534,1.01,-0.789,0.37,0.025,-1.477
344000,0.0,-0.128,-0.5,0.794,0.829,-0.312,-0.041,0.562,0.383,0.816,0.041,-0.005,-0.459,-0.615,1.091,-0.442,-0.094,-0.215,-1.206
346000,0.0,-0.128,-0.152,1.144,0.95,-0.299,-0.041,1.126,0.382,0.227,0.089,-1.626,-0.112,-0.534,1.091,-0.094,-0.558,-0.452,-0.566
348000,0.0,-0.046,0.08,1.494,0.742,-0.295,0.839,0.75,0.383,-0.403,-0.006,-1.318,0.239,-0.534,1.172,0.196,-1.021,-0.613,0.215
350000,0.0,-0.046,0.37,-0.082,0.297,-0.291,-0.041,0.938,-1.729,-0.855,-0.006,-1.009,0.593,-0.534,1.172,0.544,-1.311,-0.631,0.838
352000,0.0,-0.046,0.659,-1.658,-0.213,-0.291,-0.041,0.938,-1.729,-0.98,-0.054,-0.698,0.95,-0.493,1.172,0.775,-1.543,-0.465,1.037
354000,0.0,-0.046,0.775,-1.306,-0.6,-0.295,-0.041,0.375,0.385,-0.745,-0.101,-0.384,1.309,-0.452,1.172,0.891,-1.717,-0.122,0.707
356000,0.0,-0.128,0.833,-0.953,-0.725,-0.307,-0.922,0.187,0.386,-0.244,-0.196,-0.067,1.669,-0.452,1.172,0.949,-1.659,0.34,-0.044
358000,0.0,-0.128,0.833,-0.598,-0.541,-0.32,-0.041,-0.001,0.389,0.346,-0.196,0.253,-1.826,-0.412,1.172,0.949,-1.427,0.816,-0.942
360000,0.0,-0.128,0.659,-0.239,-0.11,-0.341,-0.041,-0.565,0.392,0.818,-0.291,0.576,-1.467,-0.371,1.132,0.891,-1.021,1.174,-1.656
362000,0.0,-0.168,0.428,0.122,0.411,-0.366,-0.482,-0.753,0.396,0.988,-0.339,0.901,-1.112,-0.371,1.091,0.775,-0.558,1.298,-1.923
364000,0.0,-0.209,0.196,0.488,0.815,-0.396,-0.482,-0.753,0.4,0.766,-0.387,1.23,-0.759,-0.29,1.01,0.544,-0.094,1.123,-1.632
366000,0.0,-0.249,-0.152,0.858,0.926,-0.43,-0.482,-1.128,0.404,0.207,-0.434,1.561,-0.409,-0.29,0.969,0.312,0.428,0.669,-0.843
368000,0.0,-0.29,-0.442,1.232,0.673,-0.467,-0.482,-0.94,0.409,-0.489,-0.482,-0.032,-0.063,-0.29,0.888,0.022,0.949,0.037,0.239
