anomaly,year_bin,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
,301000,,,0.01867,0.39804,5.40557,494.11512,342.00963,,,
,302000,,,0.01853,0.39931,5.6569,492.19028,342.00873,,,
,303000,,,0.01854,0.40069,5.90447,489.89762,342.0088,,,
,304000,,,0.01847,0.40216,6.15643,487.18847,342.00832,,,
,305000,,,0.01849,0.40367,0.12199,484.4555,342.00847,,,
,306000,,,0.01858,0.40519,0.37032,481.82899,342.00902,,,
,307000,,,0.01863,0.40669,0.62235,479.48755,342.00939,,,
,308000,,,0.01876,0.40813,0.8736,477.67761,342.01018,,,
,309000,,,0.01889,0.40949,1.12169,476.62429,342.01102,,,
,310000,,,0.01905,0.41075,1.37729,476.3802,342.01206,,,
,311000,,,0.01922,0.41189,1.62861,477.14187,342.01321,,,
,312000,,,0.01937,0.4129,1.88221,478.97249,342.01415,,,
,313000,,,0.01958,0.41375,2.13721,481.77183,342.01559,,,
,314000,,,0.01977,0.41443,2.3938,485.55391,342.01685,,,
,315000,,,0.0199,0.41495,2.6502,490.12705,342.01774,,,
,316000,,,0.02016,0.41529,2.90864,495.21121,342.01949,,,
,317000,,,0.02031,0.41546,3.1679,500.57286,342.02053,,,
,318000,,,0.02048,0.41544,3.43026,505.87104,342.02174,,,
,319000,,,0.02069,0.41526,3.68964,510.64393,342.02321,,,
,320000,,,0.02087,0.4149,3.95426,514.65879,342.02452,,,
,321000,,,0.02103,0.41438,4.21952,517.46961,342.02563,,,
,322000,,,0.02124,0.41371,4.48256,518.87164,342.02715,,,
,323000,,,0.02139,0.41291,4.75085,518.62615,342.02826,,,
,324000,,,0.02161,0.41198,5.01861,516.74792,342.02986,,,
,325000,,,0.02173,0.41096,5.2868,513.15931,342.03079,,,
,326000,,,0.02194,0.40985,5.55702,508.16702,342.0323,,,
,327000,,,0.02213,0.40869,5.82875,501.975,342.03377,,,
,328000,,,0.02224,0.4075,6.10041,494.9863,342.03463,,,
,329000,,,0.02246,0.40631,0.09138,487.64017,342.03625,,,
,330000,,,0.02262,0.40512,0.36416,480.46351,342.03751,,,
,331000,,,0.02277,0.40399,0.6419,473.81866,342.03865,,,
,332000,,,0.02292,0.40292,0.91689,468.27011,342.03987,,,
,333000,,,0.02309,0.40194,1.19284,464.09304,342.04121,,,
,334000,,,0.02323,0.40109,1.47483,461.59092,342.0423,,,
,335000,,,0.02335,0.40038,1.75048,460.95357,342.04328,,,
,336000,,,0.02349,0.39983,2.03212,462.18953,342.04436,,,
,337000,,,0.02363,0.39946,2.31401,465.22165,342.04554,,,
,338000,,,0.02371,0.39929,2.59478,469.8445,342.04618,,,
,339000,,,0.02382,0.39932,2.87803,475.72158,342.04705,,,
,340000,,,0.02398,0.39955,3.16131,482.40347,342.04836,,,
,341000,,,0.024,0.39998,3.44536,489.39162,342.04854,,,
,342000,,,0.02414,0.4006,3.73028,496.18286,342.04966,,,
,343000,,,0.02422,0.40139,4.01305,502.15317,342.05031,,,
,344000,,,0.0243,0.40233,4.30016,506.95794,342.05098,,,
,345000,,,0.02436,0.4034,4.58471,510.11523,342.0515,,,
,346000,,,0.02442,0.40455,4.86829,511.46594,342.05202,,,
,347000,,,0.02449,0.40578,5.15638,510.91151,342.05257,,,
,348000,,,0.02453,0.40703,5.44004,508.60224,342.05294,,,
,349000,,,0.02452,0.40828,5.72634,504.7193,342.05288,,,
,350000,,,0.02462,0.40948,6.01203,499.78163,342.0537,,,
,351000,,,0.02458,0.41061,0.01524,494.16492,342.05337,,,
,352000,,,0.02458,0.41162,0.30099,488.49479,342.05332,,,
,353000,,,0.02461,0.4125,0.58686,483.24099,342.0536,,,
,354000,,,0.02454,0.41321,0.8742,478.93764,342.05302,,,
,355000,,,0.0245,0.41373,1.16222,475.92968,342.05269,,,
,356000,,,0.02444,0.41403,1.44761,474.54392,342.05215,,,
,357000,,,0.02435,0.41412,1.73881,474.87786,342.05143,,,
,358000,,,0.02426,0.41399,2.02765,476.91293,342.05066,,,
,359000,,,0.0241,0.41363,2.31802,480.51916,342.04935,,,
,360000,,,0.02398,0.41306,2.61016,485.31052,342.04837,,,
,361000,,,0.02384,0.41229,2.90445,490.90563,342.04722,,,
,362000,,,0.02358,0.41135,3.19855,496.70499,342.04509,,,
,363000,,,0.02345,0.41025,3.49493,502.17732,342.04408,,,
,364000,,,0.02319,0.40902,3.79344,506.69913,342.042,,,
,365000,,,0.02294,0.40772,4.0939,509.78077,342.03998,,,
,366000,,,0.02269,0.40636,4.3945,511.04156,342.03803,,,
,367000,,,0.02241,0.405,4.69756,510.27343,342.03588,,,
,368000,,,0.0221,0.40366,5.00527,507.44541,342.03351,,,
,369000,,,0.02176,0.40241,5.30848,502.83849,342.03101,,,
,370000,,,0.02143,0.40126,5.61887,496.76719,342.02856,,,
,371000,,,0.02107,0.40026,5.92919,489.83314,342.02594,,,
,372000,,,0.02066,0.39944,6.23901,482.69866,342.023,,,
,373000,,,0.02025,0.39882,0.27072,475.91961,342.02012,,,
,374000,,,0.01985,0.39844,0.58348,470.21939,342.01737,,,
,375000,,,0.01934,0.39829,0.90169,466.0353,342.01398,,,
,376000,,,0.01889,0.39838,1.21872,463.72205,342.01102,,,
,377000,,,0.0184,0.39872,1.53654,463.47393,342.00791,,,
,378000,,,0.01789,0.39929,1.86047,465.2827,342.00471,,,
,379000,,,0.01738,0.40007,2.18128,468.89759,342.00166,,,
,380000,,,0.01682,0.40104,2.50313,474.00009,341.99837,,,
,381000,,,0.01636,0.40216,2.83238,480.1118,341.99574,,,
,382000,,,0.01575,0.40341,3.1568,486.57595,341.9924,,,
,383000,,,0.01523,0.40473,3.48634,492.89028,341.98964,,,
,384000,,,0.01471,0.40611,3.81762,498.47565,341.98702,,,
,385000,,,0.01415,0.4075,4.15092,502.83181,341.98423,,,
,386000,,,0.01362,0.40886,4.48911,505.72781,341.98174,,,
,387000,,,0.01314,0.41017,4.82249,507.02171,341.97952,,,
,388000,,,0.01264,0.41138,5.17052,506.70661,341.97731,,,
,389000,,,0.01217,0.41248,5.51146,505.12744,341.97534,,,
,390000,,,0.01171,0.41343,5.8576,502.56399,341.97345,,,
,391000,,,0.01132,0.41422,6.21025,499.45718,341.97191,,,
,392000,,,0.01092,0.41483,0.28033,496.31328,341.97041,,,
,393000,,,0.01051,0.41525,0.63812,493.56168,341.9689,,,
,394000,,,0.01023,0.41547,0.99829,491.49232,341.9679,,,
,395000,,,0.00992,0.4155,1.36355,490.42594,341.96684,,,
,396000,,,0.00968,0.41534,1.73778,490.41478,341.96601,,,
,397000,,,0.00947,0.415,2.10287,491.40008,341.96533,,,
,398000,,,0.00936,0.41449,2.48207,493.23204,341.96499,,,
,399000,,,0.00926,0.41382,2.86061,495.62636,341.96467,,,
,400000,,,0.00923,0.41302,3.23083,498.08898,341.96457,,,
,401000,,,0.00927,0.4121,3.61176,500.40208,341.96469,,,
,402000,,,0.00937,0.41107,3.98012,501.99253,341.96502,,,
,403000,,,0.00945,0.40998,4.35578,502.60892,341.96528,,,
,404000,,,0.00963,0.40883,4.71849,502.04276,341.96585,,,
,405000,,,0.00983,0.40764,5.08037,500.21509,341.96652,,,
,406000,,,0.01002,0.40644,5.44445,497.13098,341.96718,,,
,407000,,,0.01026,0.40525,5.79596,493.1494,341.968,,,
,408000,,,0.01046,0.40409,6.14727,488.50436,341.96872,,,
,409000,,,0.01077,0.40298,0.21444,483.62961,341.96985,,,
,410000,,,0.01096,0.40193,0.55823,479.05509,341.97054,,,
,411000,,,0.0112,0.40098,0.90068,475.11992,341.97145,,,
,412000,,,0.01149,0.40012,1.2382,472.17148,341.97257,,,
,413000,,,0.01166,0.39938,1.57738,470.57963,341.97326,,,
,414000,,,0.0119,0.39877,1.91219,470.32911,341.9742,,,
,415000,,,0.0121,0.39829,2.24001,471.43144,341.97505,,,
,416000,,,0.01231,0.39797,2.57581,473.82277,341.97591,,,
,417000,,,0.01247,0.39779,2.90127,477.0925,341.97661,,,
,418000,,,0.01264,0.39777,3.22481,480.92542,341.9773,,,
,419000,,,0.01281,0.39791,3.55303,485.00855,341.97805,,,
,420000,,,0.01293,0.39821,3.8701,488.72719,341.9786,,,
,421000,,,0.01302,0.39867,4.19364,491.87665,341.97898,,,
,422000,,,0.01314,0.39928,4.50709,494.11219,341.97953,,,
,423000,,,0.01322,0.40004,4.8243,495.26648,341.97987,,,
,424000,,,0.01322,0.40095,5.13875,495.24883,341.97989,,,
,425000,,,0.01329,0.40198,5.44576,494.3347,341.9802,,,
,426000,,,0.01325,0.40312,5.75753,492.50503,341.98002,,,
,427000,,,0.01325,0.40436,6.06535,490.22927,341.98004,,,
,428000,,,0.01315,0.40568,0.08508,487.83607,341.97958,,,
,429000,,,0.0131,0.40704,0.39009,485.6002,341.97936,,,
,430000,,,0.01301,0.40842,0.6932,483.90054,341.97894,,,
,431000,,,0.01283,0.40979,0.99265,483.06257,341.97814,,,
,432000,,,0.01271,0.41114,1.29262,483.10358,341.97764,,,
,433000,,,0.01256,0.41242,1.58911,484.19753,341.97697,,,
,434000,,,0.01231,0.41361,1.88855,486.36479,341.97592,,,
,435000,,,0.01215,0.41469,2.18052,489.27001,341.97525,,,
,436000,,,0.01189,0.41562,2.47516,492.89703,341.97419,,,
,437000,,,0.01167,0.4164,2.76987,496.86304,341.97329,,,
,438000,,,0.01139,0.41698,3.05984,500.83271,341.9722,,,
,439000,,,0.01111,0.41736,3.34728,504.47986,341.9711,,,
,440000,,,0.01088,0.41753,3.64199,507.64214,341.97024,,,
,441000,,,0.0105,0.41746,3.92448,509.77227,341.96884,,,
,442000,,,0.01021,0.41716,4.21216,511.00256,341.96783,,,
,443000,,,0.0099,0.41663,4.496,511.1065,341.96676,,,
,444000,,,0.0095,0.41586,4.78106,510.03746,341.96545,,,
,445000,,,0.00914,0.41489,5.06219,508.01325,341.96429,,,
,446000,,,0.00879,0.41373,5.3395,505.1886,341.9632,,,
,447000,,,0.00834,0.41239,5.62391,501.64724,341.96189,,,
,448000,,,0.00795,0.41092,5.89805,497.84839,341.96081,,,
,449000,,,0.00748,0.40934,6.17168,493.9129,341.95958,,,
,450000,,,0.00707,0.40769,0.16775,490.05702,341.95854,,,
,451000,,,0.00658,0.40601,0.4366,486.5893,341.9574,,,
,452000,,,0.00608,0.40435,0.70274,483.58676,341.95633,,,
,453000,,,0.00565,0.40273,0.97378,481.04839,341.95546,,,
,454000,,,0.00513,0.40122,1.22818,479.19213,341.95449,,,
,455000,,,0.00462,0.39984,1.48711,477.84627,341.95365,,,
,456000,,,0.00416,0.39863,1.72038,476.94825,341.95296,,,
,457000,,,0.00367,0.39763,1.9535,476.49259,341.9523,,,
,458000,,,0.00315,0.39685,2.16629,476.36162,341.9517,,,
,459000,,,0.00277,0.39631,2.31208,476.3008,341.95131,,,
,460000,,,0.00232,0.39604,2.46364,476.5494,341.95092,,,
,461000,,,0.00204,0.39604,2.50813,476.78025,341.95071,,,
,462000,,,0.0019,0.39629,2.48863,477.11664,341.95062,,,
,463000,,,0.00192,0.39679,2.46209,477.63852,341.95063,,,
,464000,,,0.00216,0.39751,2.47375,478.33814,341.9508,,,
,465000,,,0.00258,0.39845,2.51869,479.23604,341.95114,,,
,466000,,,0.00305,0.39955,2.67369,480.62058,341.95159,,,
,467000,,,0.00364,0.40078,2.84239,482.3166,341.95227,,,
,468000,,,0.00425,0.40212,3.04228,484.4671,341.95309,,,
,469000,,,0.00492,0.40351,3.27789,487.11432,341.95414,,,
,470000,,,0.00561,0.40492,3.51743,490.08065,341.95538,,,
,471000,,,0.0063,0.40631,3.76072,493.24383,341.9568,,,
,472000,,,0.00709,0.40766,4.0269,496.58723,341.95859,,,
,473000,,,0.00784,0.40892,4.28387,499.66421,341.96051,,,
,474000,,,0.00859,0.41007,4.55262,502.33268,341.96261,,,
,475000,,,0.00946,0.41109,4.82016,504.43651,341.9653,,,
,476000,,,0.01024,0.41196,5.09399,505.54534,341.96794,,,
,477000,,,0.01106,0.41266,5.36752,505.6241,341.97092,,,
,478000,,,0.01196,0.4132,5.64242,504.61584,341.97445,,,
,479000,,,0.01277,0.41356,5.92141,502.397,341.9779,,,
,480000,,,0.01367,0.41374,6.20336,499.18299,341.98197,,,
,481000,,,0.01454,0.41376,0.19778,495.276,341.98613,,,
,482000,,,0.01544,0.41362,0.48408,490.82711,341.99079,,,
,483000,,,0.01636,0.41334,0.76824,486.39247,341.99577,,,
,484000,,,0.01725,0.41294,1.05327,482.39081,342.00089,,,
,485000,,,0.01819,0.41243,1.34059,479.17413,342.00658,,,
,486000,,,0.01916,0.41184,1.62912,477.14267,342.01278,,,
,487000,,,0.02002,0.41118,1.91878,476.72639,342.01852,,,
,488000,,,0.02103,0.41048,2.20727,477.80606,342.02564,,,
,489000,,,0.02195,0.40975,2.49956,480.6703,342.03241,,,
,490000,,,0.02287,0.40901,2.79193,485.03506,342.03944,,,
,491000,,,0.02383,0.40829,3.08357,490.53843,342.04711,,,
,492000,,,0.02475,0.40758,3.37643,496.76711,342.05481,,,
,493000,,,0.02569,0.40691,3.67317,503.18202,342.06291,,,
,494000,,,0.02658,0.40627,3.96525,508.89071,342.07085,,,
,495000,,,0.02751,0.40569,4.26127,513.45725,342.07946,,,
,496000,,,0.02842,0.40517,4.55803,516.15621,342.08814,,,
,497000,,,0.02927,0.40469,4.85256,516.49655,342.09657,,,
,498000,,,0.03014,0.40428,5.15057,514.30782,342.10544,,,
,499000,,,0.03101,0.40393,5.44602,509.63046,342.11454,,,
,500000,,,0.0318,0.40364,5.74443,502.61219,342.12302,,,
,501000,,,0.03261,0.4034,6.04158,493.95252,342.13198,,,
,502000,,,0.0334,0.40322,0.055,484.34197,342.14089,,,
,503000,,,0.03414,0.40309,0.35509,474.51185,342.14943,,,
,504000,,,0.03488,0.40301,0.65235,465.53383,342.15819,,,
,505000,,,0.03554,0.40299,0.94991,458.17646,342.16622,,,
,506000,,,0.03629,0.40301,1.25026,452.9968,342.17541,,,
,507000,,,0.03687,0.40308,1.54764,450.80695,342.18271,,,
,508000,,,0.03751,0.40321,1.84643,451.66294,342.19081,,,
,509000,,,0.03812,0.40339,2.14509,455.6895,342.19877,,,
,510000,,,0.03864,0.40362,2.44306,462.70526,342.2055,,,
,511000,,,0.03915,0.4039,2.74265,472.21109,342.21234,,,
,512000,,,0.03965,0.40423,3.03874,483.3274,342.2191,,,
,513000,,,0.04006,0.40462,3.33884,495.41002,342.22471,,,
,514000,,,0.04046,0.40505,3.6358,507.13188,342.23028,,,
,515000,,,0.04081,0.40551,3.93269,517.51852,342.23504,,,
,516000,,,0.04113,0.40601,4.23065,525.62696,342.23958,,,
,517000,,,0.0414,0.40653,4.52714,530.57722,342.24337,,,
,518000,,,0.04156,0.40706,4.82333,531.86003,342.24575,,,
,519000,,,0.04179,0.40758,5.11949,529.51059,342.24899,,,
,520000,,,0.04189,0.40809,5.41507,523.61068,342.25045,,,
,521000,,,0.04193,0.40856,5.71095,514.81891,342.25104,,,
,522000,,,0.042,0.40899,6.00447,504.15356,342.25205,,,
,523000,,,0.04198,0.40936,0.01698,492.41893,342.25175,,,
,524000,,,0.04188,0.40966,0.31072,480.90215,342.25028,,,
,525000,,,0.04183,0.40987,0.60358,470.53631,342.24951,,,
,526000,,,0.04163,0.40999,0.89723,462.22152,342.24663,,,
,527000,,,0.04148,0.41,1.1899,456.54409,342.24455,,,
,528000,,,0.0412,0.4099,1.48191,454.04606,342.24052,,,
,529000,,,0.04094,0.40969,1.77321,454.70308,342.23697,,,
,530000,,,0.04065,0.40937,2.06528,458.47425,342.23283,,,
,531000,,,0.04023,0.40895,2.35526,464.99044,342.22711,,,
,532000,,,0.03987,0.40843,2.64616,473.58399,342.22214,,,
,533000,,,0.03944,0.40783,2.93508,483.46865,342.21625,,,
,534000,,,0.03893,0.40718,3.22566,493.8485,342.20939,,,
,535000,,,0.03842,0.40648,3.51409,503.63388,342.20267,,,
,536000,,,0.03788,0.40576,3.80179,512.00341,342.19554,,,
,537000,,,0.03728,0.40505,4.09197,518.27689,342.18787,,,
,538000,,,0.03665,0.40436,4.37798,521.76421,342.17984,,,
,539000,,,0.03599,0.40374,4.66516,522.34414,342.17166,,,
,540000,,,0.03535,0.40319,4.95304,520.05173,342.16386,,,
,541000,,,0.03459,0.40275,5.23764,515.09948,342.15477,,,
,542000,,,0.03388,0.40243,5.52298,508.15661,342.14644,,,
,543000,,,0.03319,0.40225,5.80729,499.89164,342.1385,,,
,544000,,,0.03237,0.40222,6.08967,491.04973,342.12931,,,
,545000,,,0.03165,0.40234,0.08898,482.40726,342.12142,,,
,546000,,,0.03087,0.40262,0.36676,474.76087,342.11305,,,
,547000,,,0.03011,0.40305,0.64658,468.46768,342.10507,,,
,548000,,,0.02931,0.40361,0.92236,464.11633,342.09693,,,
,549000,,,0.02854,0.4043,1.19406,461.84133,342.08936,,,
,550000,,,0.02777,0.4051,1.46855,461.66964,342.08189,,,
,551000,,,0.027,0.40597,1.73488,463.5465,342.0747,,,
,552000,,,0.02621,0.40689,2.00199,467.24344,342.0675,,,
,553000,,,0.02553,0.40784,2.26494,472.29658,342.06145,,,
,554000,,,0.02478,0.40877,2.52528,478.44748,342.055,,,
,555000,,,0.02405,0.40967,2.78201,485.14963,342.04896,,,
,556000,,,0.02346,0.41049,3.03514,491.9432,342.0441,,,
,557000,,,0.02278,0.41122,3.28595,498.4808,342.03876,,,
,558000,,,0.02219,0.41182,3.53366,504.35978,342.03422,,,
,559000,,,0.02167,0.41228,3.77504,509.25871,342.03033,,,
,560000,,,0.02114,0.41259,4.01801,513.05991,342.02644,,,
,561000,,,0.02072,0.41273,4.25521,515.5948,342.02345,,,
,562000,,,0.0203,0.41269,4.48959,516.77376,342.02051,,,
,563000,,,0.02,0.41248,4.72302,516.71913,342.01838,,,
,564000,,,0.01975,0.41209,4.95635,515.43212,342.01674,,,
,565000,,,0.01949,0.41155,5.18361,512.97601,342.01499,,,
,566000,,,0.01946,0.41086,5.41583,509.62173,342.01475,,,
,567000,,,0.01937,0.41005,5.64478,505.36894,342.01417,,,
,568000,,,0.01939,0.40913,5.87509,500.47063,342.01427,,,
,569000,,,0.01952,0.40814,6.10615,495.11345,342.01518,,,
,570000,,,0.01969,0.40709,0.05568,489.46525,342.01633,,,
,571000,,,0.01989,0.40603,0.29137,483.75963,342.01766,,,
,572000,,,0.02025,0.40499,0.52621,478.26554,342.02012,,,
,573000,,,0.02058,0.40398,0.76638,473.19712,342.02241,,,
,574000,,,0.021,0.40304,1.00917,468.81093,342.02542,,,
,575000,,,0.02146,0.4022,1.2516,465.40032,342.0288,,,
,576000,,,0.02197,0.40146,1.49927,463.1374,342.03258,,,
,577000,,,0.02253,0.40085,1.75038,462.2339,342.03685,,,
,578000,,,0.0231,0.40038,2.00032,462.8248,342.04129,,,
,579000,,,0.02373,0.40006,2.25617,464.96002,342.04635,,,
,580000,,,0.02441,0.39989,2.51249,468.579,342.05192,,,
,581000,,,0.02505,0.39987,2.77144,473.6085,342.05735,,,
,582000,,,0.02576,0.39999,3.0317,479.73107,342.06353,,,
,583000,,,0.02654,0.40026,3.29359,486.64414,342.07051,,,
,584000,,,0.0272,0.40065,3.55873,493.90967,342.07657,,,
,585000,,,0.02802,0.40115,3.82217,500.98573,342.08434,,,
,586000,,,0.02879,0.40175,4.08921,507.37645,342.09183,,,
,587000,,,0.02955,0.40243,4.35727,512.48996,342.09941,,,
,588000,,,0.03038,0.40316,4.62554,515.93759,342.10794,,,
,589000,,,0.03116,0.40394,4.8943,517.25793,342.11613,,,
,590000,,,0.03202,0.40474,5.16725,516.33823,342.12545,,,
,591000,,,0.03281,0.40555,5.43711,513.09543,342.13416,,,
,592000,,,0.03365,0.40636,5.71014,507.73696,342.14375,,,
,593000,,,0.03453,0.40714,5.98401,500.63699,342.15407,,,
,594000,,,0.03534,0.4079,6.25778,492.34457,342.16368,,,
,595000,,,0.03618,0.40863,0.24979,483.51778,342.174,,,
,596000,,,0.0371,0.40931,0.52477,474.90057,342.18552,,,
,597000,,,0.03787,0.40994,0.80193,467.26604,342.19548,,,
,598000,,,0.03876,0.41053,1.07892,461.23683,342.20716,,,
,599000,,,0.03959,0.41106,1.3554,457.49528,342.21834,,,
,600000,,,0.04044,0.41154,1.63552,456.40261,342.2299,,,
,601000,,,0.04126,0.41195,1.91356,458.26406,342.24137,,,
,602000,,,0.04208,0.41231,2.19256,463.08194,342.25319,,,
,603000,,,0.04291,0.41259,2.47426,470.75466,342.26523,,,
,604000,,,0.0437,0.41281,2.75341,480.72528,342.27696,,,
,605000,,,0.04445,0.41294,3.03577,492.52692,342.28828,,,
,606000,,,0.04527,0.41299,3.31698,505.13114,342.30095,,,
,607000,,,0.04598,0.41296,3.59977,517.63669,342.31203,,,
,608000,,,0.0467,0.41284,3.88314,528.92014,342.32349,,,
,609000,,,0.04743,0.41262,4.16589,537.89725,342.33521,,,
,610000,,,0.0481,0.41231,4.45074,543.66619,342.34619,,,
,611000,,,0.04875,0.41189,4.73606,545.5186,342.35712,,,
,612000,,,0.04936,0.41137,5.01993,543.11207,342.36739,,,
,613000,,,0.05,0.41074,5.30742,536.50416,342.37819,,,
,614000,,,0.05054,0.41002,5.59367,526.13271,342.38759,,,
,615000,,,0.05107,0.40919,5.88081,512.8347,342.39679,,,
,616000,,,0.05159,0.40827,6.16918,497.66513,342.40598,,,
,617000,,,0.05207,0.40726,0.17483,481.88531,342.41451,,,
,618000,,,0.05244,0.40619,0.46482,466.77144,342.4212,,,
,619000,,,0.05289,0.40508,0.75464,453.50603,342.42931,,,
,620000,,,0.05323,0.40393,1.04667,443.09788,342.43548,,,
,621000,,,0.05351,0.40279,1.33864,436.38287,342.44058,,,
,622000,,,0.05382,0.40168,1.63144,433.7313,342.44629,,,
,623000,,,0.05401,0.40062,1.92514,435.45963,342.44977,,,
,624000,,,0.05422,0.39964,2.22011,441.31174,342.45382,,,
,625000,,,0.05431,0.39878,2.51491,450.9089,342.45549,,,
,626000,,,0.05441,0.39806,2.81042,463.39964,342.4572,,,
,627000,,,0.05448,0.3975,3.10774,477.83396,342.45869,,,
,628000,,,0.05441,0.39712,3.40372,492.78382,342.45729,,,
,629000,,,0.05437,0.39696,3.70123,507.03473,342.45661,,,
,630000,,,0.05429,0.39701,3.9982,519.15001,342.45504,,,
,631000,,,0.05406,0.39728,4.29615,527.93608,342.45083,,,
,632000,,,0.05389,0.39779,4.59298,532.66018,342.44755,,,
,633000,,,0.05361,0.39851,4.88966,532.83852,342.44254,,,
,634000,,,0.05326,0.39944,5.18705,528.54908,342.43606,,,
,635000,,,0.05292,0.40055,5.48272,520.47946,342.42987,,,
,636000,,,0.05243,0.40182,5.77754,509.46032,342.42099,,,
,637000,,,0.05202,0.40322,6.07331,496.72653,342.41358,,,
,638000,,,0.05141,0.40471,0.08314,483.6732,342.40277,,,
,639000,,,0.05082,0.40625,0.3765,471.46157,342.39248,,,
,640000,,,0.05023,0.40781,0.66858,461.24072,342.38213,,,
,641000,,,0.0495,0.40934,0.95965,453.93264,342.36963,,,
,642000,,,0.04876,0.41081,1.25048,450.03241,342.35716,,,
,643000,,,0.04802,0.41217,1.538,449.81443,342.34494,,,
,644000,,,0.04717,0.41339,1.82785,453.32731,342.33103,,,
,645000,,,0.04631,0.41445,2.11424,460.13187,342.31732,,,
,646000,,,0.04539,0.41532,2.39929,469.67874,342.30282,,,
,647000,,,0.04447,0.41597,2.68598,481.22263,342.28867,,,
,648000,,,0.04346,0.4164,2.96969,493.68794,342.27336,,,
,649000,,,0.04243,0.4166,3.25254,506.0521,342.25825,,,
,650000,,,0.0414,0.41655,3.53652,517.37816,342.24345,,,
,651000,,,0.04029,0.41628,3.81736,526.54409,342.22793,,,
,652000,,,0.03917,0.41579,4.10008,533.01154,342.21269,,,
,653000,,,0.03806,0.41509,4.37922,536.20699,342.19791,,,
,654000,,,0.0369,0.41421,4.66007,536.05622,342.18306,,,
,655000,,,0.03569,0.41318,4.93952,532.65455,342.168,,,
,656000,,,0.03454,0.41202,5.21657,526.60619,342.15421,,,
,657000,,,0.03331,0.41077,5.49473,518.37427,342.13992,,,
,658000,,,0.03214,0.40945,5.77113,508.88316,342.12678,,,
,659000,,,0.03089,0.40811,6.04526,498.8874,342.11328,,,
,660000,,,0.02972,0.40678,0.03516,489.1624,342.10109,,,
,661000,,,0.02854,0.40548,0.30759,480.30067,342.08938,,,
,662000,,,0.02729,0.40426,0.57543,472.94953,342.07737,,,
,663000,,,0.02618,0.40313,0.84235,467.22834,342.06722,,,
,664000,,,0.02502,0.40213,1.10613,463.43372,342.05711,,,
,665000,,,0.02386,0.40127,1.36649,461.55294,342.0474,,,
,666000,,,0.02283,0.40056,1.62221,461.32932,342.03912,,,
,667000,,,0.02178,0.40003,1.87374,462.6465,342.03112,,,
,668000,,,0.02077,0.39968,2.12268,465.1879,342.0238,,,
,669000,,,0.01988,0.3995,2.36236,468.51067,342.01762,,,
,670000,,,0.019,0.39948,2.59859,472.4463,342.01175,,,
,671000,,,0.01828,0.39961,2.83054,476.6361,342.00714,,,
,672000,,,0.01757,0.39988,3.05376,480.83532,342.00277,,,
,673000,,,0.01702,0.40026,3.27174,484.89153,341.99954,,,
,674000,,,0.0166,0.40074,3.48995,488.79523,341.99715,,,
,675000,,,0.01622,0.40129,3.69646,492.23855,341.99501,,,
,676000,,,0.01606,0.4019,3.90814,495.48,341.99409,,,
,677000,,,0.01601,0.40255,4.11398,498.29056,341.99385,,,
,678000,,,0.01604,0.40322,4.32372,500.66493,341.99398,,,
,679000,,,0.01622,0.4039,4.53344,502.57784,341.99499,,,
,680000,,,0.01656,0.40459,4.74701,503.9721,341.99692,,,
,681000,,,0.01689,0.40527,4.96676,504.56417,341.99879,,,
,682000,,,0.01743,0.40593,5.1886,504.48334,342.00193,,,
,683000,,,0.01798,0.40656,5.41541,503.46369,342.00526,,,
,684000,,,0.01859,0.40716,5.65137,501.44638,342.00908,,,
,685000,,,0.01929,0.40772,5.88716,498.59204,342.01363,,,
,686000,,,0.01998,0.40824,6.12983,494.84967,342.0183,,,
,687000,,,0.02077,0.40871,0.09482,490.44413,342.0238,,,
,688000,,,0.02155,0.40913,0.34539,485.69564,342.02942,,,
,689000,,,0.02231,0.40951,0.59829,480.96979,342.0351,,,
,690000,,,0.02323,0.40983,0.85756,476.46818,342.04228,,,
,691000,,,0.02395,0.41011,1.11667,472.93719,342.04815,,,
,692000,,,0.02482,0.41034,1.37927,470.44203,342.05539,,,
,693000,,,0.02568,0.41052,1.64378,469.44025,342.06276,,,
,694000,,,0.02646,0.41065,1.91062,470.20855,342.0698,,,
,695000,,,0.02728,0.41071,2.17977,472.7688,342.07729,,,
,696000,,,0.02811,0.41072,2.4473,477.03141,342.08516,,,
,697000,,,0.02888,0.41066,2.72167,483.01895,342.09265,,,
,698000,,,0.02967,0.41052,2.99332,490.11785,342.10059,,,
,699000,,,0.03042,0.41031,3.26671,497.96151,342.10832,,,
,700000,,,0.03119,0.41002,3.54367,505.99692,342.11644,,,
,701000,,,0.03192,0.40964,3.81947,513.38883,342.12429,,,
,702000,,,0.03261,0.40918,4.09724,519.51694,342.13191,,,
,703000,,,0.03336,0.40865,4.37654,523.80342,342.14039,,,
,704000,,,0.034,0.40804,4.65619,525.56784,342.14788,,,
,705000,,,0.03466,0.40738,4.9383,524.59071,342.15559,,,
,706000,,,0.03534,0.40668,5.21942,520.81125,342.16368,,,
,707000,,,0.03596,0.40595,5.50321,514.29746,342.17133,,,
,708000,,,0.03655,0.40522,5.78867,505.49524,342.17864,,,
,709000,,,0.03716,0.40449,6.07184,495.21421,342.18629,,,
,710000,,,0.03774,0.40381,0.07693,483.98377,342.19379,,,
