year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation,delta_anomaly,delta_co2_ppm,delta_co2_radiative_forcing,delta_eccentricity,delta_obliquity,delta_perihelion,delta_insolation,delta_global_insolation,delta_be_ppm,delta_VADM,delta_solar_modulation,perihelion_lagged_20,perihelion_lagged_50,eccentricity_lagged_20,eccentricity_lagged_50,obliquity_lagged_20,obliquity_lagged_50,insolation_lagged_20,insolation_lagged_50,co2_ppm_squared,co2_radiative_forcing_squared,eccentricity_squared,obliquity_squared,perihelion_squared,insolation_squared,global_insolation_squared,be_ppm_squared,VADM_squared,solar_modulation_squared,delta_anomaly_squared,delta_co2_ppm_squared,delta_co2_radiative_forcing_squared,delta_eccentricity_squared,delta_obliquity_squared,delta_perihelion_squared,delta_insolation_squared,delta_global_insolation_squared,delta_be_ppm_squared,delta_VADM_squared,delta_solar_modulation_squared
-800000,-3.135,-0.777,-0.79,-1.021,-0.21,0.111,-0.05,-0.901,1.904,-0.811,1.975,0.0,-0.042,-0.033,-0.041,-0.001,-0.001,-0.006,-0.054,0.003,0.014,0.004,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.604,0.625,1.043,0.044,0.012,0.002,0.812,3.627,0.658,3.903,0.0,0.002,0.001,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0
-798000,-3.889,-0.851,-0.874,-0.696,0.022,-1.037,-0.751,-0.758,1.861,-1.778,1.95,-0.754,-0.244,-0.273,3.48,0.75,-1.259,-1.345,1.563,-0.064,-3.111,0.001,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.724,0.764,0.485,0.0,1.075,0.565,0.575,3.462,3.16,3.831,0.569,0.06,0.075,12.108,0.563,1.585,1.81,2.443,0.004,9.676,0.0
-796000,-4.182,-0.665,-0.667,-0.696,0.37,-0.641,-0.521,-0.724,1.817,-1.902,1.925,-0.966,-0.252,-0.274,-0.041,1.126,0.433,0.435,0.327,-0.064,-2.573,-0.002,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.511,0.531,0.485,0.137,0.41,0.271,0.525,3.305,3.647,3.76,1.248,0.064,0.075,0.002,1.268,0.188,0.189,0.107,0.004,8.645,0.001
-794000,-4.476,-0.48,-0.46,-0.615,0.601,-0.249,-0.056,-0.682,1.773,-2.026,1.9,-1.178,-0.26,-0.274,0.839,0.75,0.429,0.881,0.422,-0.064,-2.035,-0.006,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.299,0.297,0.378,0.362,0.062,0.003,0.466,3.147,4.133,3.689,1.927,0.068,0.075,0.704,0.563,0.184,0.777,0.178,0.004,7.613,0.001
-792000,-4.769,-0.294,-0.253,-0.534,0.833,0.14,0.568,-0.649,1.729,-2.149,1.875,-1.39,-0.268,-0.275,0.839,0.75,0.425,1.187,0.327,-0.064,-1.497,-0.009,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.087,0.064,0.285,0.694,0.02,0.323,0.421,2.99,4.62,3.617,2.606,0.073,0.076,0.704,0.563,0.18,1.41,0.107,0.004,6.581,0.002
-790000,-4.539,0.045,0.098,-0.534,1.065,0.525,1.131,-0.615,1.685,-2.248,1.85,-1.602,-0.276,-0.276,-0.041,0.75,0.421,1.068,0.327,-0.064,-0.959,-0.012,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.117,0.133,0.285,1.134,0.275,1.278,0.378,2.842,5.063,3.546,3.286,0.077,0.076,0.002,0.563,0.177,1.141,0.107,0.004,5.549,0.002
-788000,-4.309,0.385,0.449,-0.452,1.065,0.907,1.366,-0.598,1.641,-2.346,1.825,-1.814,-0.283,-0.276,0.839,-0.001,0.418,0.444,0.136,-0.064,-0.421,-0.015,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.148,0.202,0.205,1.134,0.823,1.866,0.358,2.694,5.506,3.475,3.965,0.081,0.076,0.704,0.0,0.175,0.197,0.019,0.004,4.517,0.003
-786000,-3.559,0.889,0.925,-0.452,1.065,1.29,1.275,-0.573,1.598,-2.432,1.8,-2.026,-0.291,-0.277,-0.041,-0.001,0.419,-0.18,0.232,-0.064,0.117,-0.018,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.044,1.081,0.205,1.134,1.663,1.625,0.328,2.554,5.922,3.403,4.644,0.086,0.077,0.002,0.0,0.175,0.032,0.054,0.004,3.485,0.003
-784000,-2.809,1.393,1.4,-0.452,0.949,1.672,0.777,-0.564,1.554,-2.517,1.775,-2.238,-0.299,-0.277,-0.041,-0.377,0.418,-0.957,0.041,-0.065,0.654,-0.022,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.94,1.959,0.205,0.901,2.795,0.603,0.318,2.414,6.337,3.332,5.323,0.09,0.077,0.002,0.142,0.175,0.915,0.002,0.004,2.454,0.004
-782000,-5.259,1.296,1.314,-0.452,0.717,-1.799,0.132,-0.556,1.51,-2.153,1.75,-2.45,-0.307,-0.278,-0.041,-0.753,-3.806,-1.236,0.041,-0.065,1.192,-0.025,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.681,1.727,0.205,0.515,3.237,0.017,0.309,2.279,4.636,3.261,6.003,0.094,0.077,0.002,0.566,14.485,1.528,0.002,0.004,1.422,0.004
-780000,-4.819,1.124,1.148,-0.452,0.486,-1.415,-0.45,-0.564,1.466,-2.043,1.725,-2.468,-0.296,-0.271,-0.041,-0.753,0.421,-1.117,-0.149,-0.065,1.394,-0.028,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.442,1.484,0.205,0.236,2.001,0.202,0.318,2.16,4.246,3.189,6.091,0.088,0.074,0.002,0.566,0.177,1.247,0.022,0.004,2.226,0.004
-778000,-4.379,0.952,0.982,-0.452,0.254,-1.029,-0.819,-0.573,1.422,-1.932,1.7,-2.485,-0.285,-0.265,-0.041,-0.753,0.422,-0.71,-0.149,-0.065,1.595,-0.031,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,1.203,1.24,0.205,0.064,1.058,0.67,0.328,2.041,3.856,3.118,6.179,0.083,0.071,0.002,0.566,0.178,0.504,0.022,0.004,3.031,0.005
-776000,-3.939,0.779,0.816,-0.452,-0.094,-0.643,-0.801,-0.581,1.378,-1.822,1.675,-2.503,-0.274,-0.258,-0.041,-1.128,0.422,0.029,-0.149,-0.065,1.796,-0.034,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.964,0.997,0.205,0.009,0.413,0.641,0.338,1.922,3.465,3.047,6.267,0.077,0.067,0.002,1.273,0.178,0.001,0.022,0.004,3.835,0.005
-774000,-3.499,0.607,0.65,-0.452,-0.442,-0.255,-0.538,-0.606,1.334,-1.711,1.65,-2.52,-0.263,-0.252,-0.041,-1.128,0.424,0.495,-0.339,-0.065,1.998,-0.038,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.725,0.753,0.205,0.195,0.065,0.29,0.368,1.803,3.075,2.975,6.355,0.071,0.064,0.002,1.273,0.18,0.245,0.115,0.004,4.639,0.006
-772000,-3.059,0.435,0.484,-0.534,-0.674,0.136,-0.129,-0.64,1.29,-1.601,1.625,-2.538,-0.252,-0.246,-0.922,-0.753,0.428,0.777,-0.434,-0.065,2.199,-0.041,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.486,0.51,0.285,0.454,0.018,0.017,0.41,1.684,2.685,2.904,6.444,0.065,0.061,0.85,0.566,0.183,0.603,0.188,0.004,5.444,0.006
-770000,-2.619,0.262,0.318,-0.615,-0.905,0.529,0.211,-0.682,1.246,-1.49,1.6,-2.555,-0.241,-0.239,-0.922,-0.753,0.43,0.643,-0.529,-0.065,2.4,-0.044,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.247,0.267,0.378,0.82,0.28,0.045,0.466,1.565,2.295,2.833,6.532,0.06,0.058,0.85,0.566,0.185,0.413,0.28,0.004,6.248,0.007
-768000,-2.179,0.09,0.152,-0.696,-1.021,0.927,0.27,-0.733,1.203,-1.38,1.575,-2.573,-0.23,-0.233,-0.922,-0.377,0.435,0.108,-0.624,-0.065,2.602,-0.047,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.008,0.023,0.485,1.043,0.859,0.073,0.537,1.446,1.904,2.762,6.62,0.054,0.054,0.85,0.142,0.189,0.012,0.39,0.004,7.053,0.007
-766000,-4.769,0.026,0.084,-0.777,-1.137,1.326,0.093,-0.775,1.158,-0.518,1.55,-2.59,-0.219,-0.226,-0.922,-0.377,0.437,-0.344,-0.529,-0.065,2.803,-0.051,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.001,0.007,0.604,1.293,1.758,0.009,0.601,1.342,0.268,2.69,6.708,0.048,0.051,0.85,0.142,0.191,0.118,0.28,0.004,7.857,0.007
-764000,-4.524,-0.07,-0.016,-0.859,-1.021,0.449,-0.295,-0.834,1.115,-0.098,1.525,-0.91,-0.285,-0.301,-0.922,0.375,-0.962,-0.746,-0.719,-0.064,2.43,-0.054,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.014,0.01,0.737,1.043,0.202,0.087,0.695,1.244,0.186,2.619,6.473,0.09,0.102,0.85,0.14,0.925,0.557,0.518,0.004,6.185,0.008
-762000,-4.279,-0.166,-0.116,-0.94,-1.021,-1.709,-0.673,-0.884,1.071,0.322,1.5,0.77,-0.351,-0.377,-0.922,-0.001,-2.367,-0.727,-0.624,-0.064,2.058,-0.057,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.027,0.014,0.883,1.043,2.921,0.452,0.782,1.147,0.104,2.548,6.238,0.132,0.153,0.85,0.0,5.603,0.528,0.39,0.004,4.512,0.008
-760000,-1.829,-0.302,-0.263,-1.021,-0.789,-1.29,-0.833,-0.935,1.027,0.839,1.475,2.45,-0.417,-0.452,-0.922,0.75,0.459,-0.313,-0.624,-0.064,1.685,-0.06,0.111,0.111,-1.021,-1.021,-0.21,-0.21,-0.05,-0.05,0.091,0.069,1.043,0.623,1.663,0.695,0.874,1.055,0.704,2.476,6.003,0.174,0.204,0.85,0.563,0.211,0.098,0.39,0.004,2.84,0.009
-758000,-1.706,-0.437,-0.412,-1.184,-0.558,-0.861,-0.758,-0.977,0.983,1.271,1.45,2.337,-0.369,-0.399,-1.802,0.75,0.468,0.139,-0.529,-0.064,1.702,-0.063,-1.037,0.111,-0.696,-1.021,0.022,-0.21,-0.751,-0.05,0.227,0.214,1.401,0.311,0.742,0.575,0.955,0.971,1.99,2.405,5.755,0.189,0.224,3.247,0.563,0.219,0.019,0.28,0.004,2.902,0.009
-756000,-1.582,-0.571,-0.561,-1.265,-0.21,-0.417,-0.399,-1.019,0.939,1.704,1.425,2.225,-0.321,-0.346,-0.922,1.126,0.486,0.68,-0.529,-0.064,1.718,-0.067,-0.641,0.111,-0.696,-1.021,0.37,-0.21,-0.521,-0.05,0.363,0.359,1.6,0.044,0.174,0.159,1.039,0.886,3.277,2.334,5.508,0.205,0.243,0.85,1.268,0.236,0.463,0.28,0.004,2.964,0.01
-754000,-1.459,-0.706,-0.71,-1.346,0.022,0.045,0.054,-1.053,0.895,2.136,1.4,2.112,-0.273,-0.293,-0.922,0.75,0.506,0.859,-0.434,-0.064,1.735,-0.07,-0.249,0.111,-0.615,-1.021,0.601,-0.21,-0.056,-0.05,0.499,0.504,1.812,0.0,0.002,0.003,1.109,0.802,4.563,2.262,5.26,0.22,0.262,0.85,0.563,0.256,0.738,0.188,0.004,3.027,0.01
-752000,-1.486,-0.891,-0.927,-1.427,0.37,0.541,0.429,-1.078,0.852,1.969,1.375,1.999,-0.225,-0.24,-0.922,1.126,0.542,0.71,-0.339,-0.064,1.751,-0.073,0.14,0.111,-0.534,-1.021,0.833,-0.21,0.568,-0.05,0.862,0.955,2.037,0.137,0.292,0.184,1.163,0.729,3.933,2.191,5.013,0.235,0.282,0.85,1.268,0.294,0.504,0.115,0.004,3.089,0.011
-750000,-1.512,-1.076,-1.145,-1.508,0.717,1.072,0.633,-1.095,0.808,1.802,1.35,1.886,-0.177,-0.187,-0.922,1.126,0.581,0.384,-0.244,-0.064,1.768,-0.076,0.525,0.111,-0.534,-1.021,1.065,-0.21,1.131,-0.05,1.225,1.406,2.276,0.515,1.149,0.4,1.199,0.656,3.302,2.12,4.766,0.251,0.301,0.85,1.268,0.338,0.148,0.059,0.004,3.151,0.011
-748000,-1.539,-1.26,-1.363,-1.508,1.065,1.63,0.582,-1.095,0.764,1.634,1.325,1.774,-0.129,-0.134,-0.041,1.126,0.61,-0.103,-0.054,-0.064,1.784,-0.08,0.907,0.111,-0.452,-1.021,1.065,-0.21,1.366,-0.05,1.588,1.857,2.276,1.134,2.655,0.339,1.199,0.583,2.671,2.048,4.518,0.266,0.32,0.002,1.268,0.372,0.011,0.003,0.004,3.213,0.011
-746000,-3.019,-1.289,-1.398,-1.508,1.297,-1.669,0.412,-1.087,0.72,1.649,1.3,1.661,-0.081,-0.081,-0.041,0.75,-3.617,-0.33,0.041,-0.064,1.801,-0.083,1.29,0.111,-0.452,-1.021,1.065,-0.21,1.275,-0.05,1.664,1.955,2.276,1.682,2.786,0.17,1.181,0.52,2.72,1.977,4.271,0.281,0.34,0.002,0.563,13.082,0.109,0.002,0.004,3.276,0.012
-744000,-4.499,-1.319,-1.433,-1.427,1.413,-1.156,0.256,-1.061,0.676,1.664,1.275,1.548,-0.033,-0.029,0.839,0.375,0.561,-0.303,0.232,-0.064,1.817,-0.086,1.672,0.111,-0.452,-1.021,0.949,-0.21,0.777,-0.05,1.739,2.054,2.037,1.996,1.337,0.066,1.127,0.457,2.769,1.906,4.023,0.297,0.359,0.704,0.14,0.315,0.092,0.054,0.004,3.338,0.012
-742000,-4.029,-1.342,-1.463,-1.265,1.413,-0.677,0.221,-1.028,0.632,1.395,1.25,1.436,0.015,0.024,1.719,-0.001,0.525,-0.072,0.327,-0.064,1.834,-0.089,-1.799,0.111,-0.452,-1.021,0.717,-0.21,0.132,-0.05,1.802,2.141,1.6,1.996,0.458,0.049,1.056,0.402,2.018,1.835,3.776,0.312,0.379,2.955,0.0,0.275,0.005,0.107,0.004,3.4,0.013
-740000,-3.559,-1.366,-1.492,-1.184,1.297,-0.233,0.404,-0.977,0.588,1.125,1.225,1.323,0.064,0.077,0.839,-0.377,0.485,0.343,0.517,-0.064,1.85,-0.092,-1.415,0.111,-0.452,-1.021,0.486,-0.21,-0.45,-0.05,1.865,2.227,1.401,1.682,0.054,0.163,0.955,0.346,1.266,1.763,3.529,0.327,0.398,0.704,0.142,0.235,0.118,0.267,0.004,3.462,0.013
-738000,-4.006,-1.011,-1.081,-1.021,1.181,0.193,0.687,-0.918,0.545,1.079,1.2,1.21,0.112,0.13,1.719,-0.377,0.466,0.536,0.612,-0.064,1.867,-0.096,-1.029,0.111,-0.452,-1.021,0.254,-0.21,-0.819,-0.05,1.273,1.507,1.043,1.395,0.037,0.472,0.843,0.3,1.169,1.692,3.281,0.343,0.417,2.955,0.142,0.217,0.287,0.375,0.004,3.525,0.014
-736000,-4.452,-0.655,-0.67,-0.859,0.833,0.605,0.924,-0.842,0.501,1.034,1.175,1.098,0.16,0.183,1.719,-1.128,0.451,0.446,0.802,-0.064,1.884,-0.099,-0.643,0.111,-0.452,-1.021,-0.094,-0.21,-0.801,-0.05,0.682,0.787,0.737,0.694,0.366,0.854,0.71,0.254,1.072,1.621,3.034,0.358,0.437,2.955,1.273,0.203,0.199,0.644,0.004,3.587,0.014
-734000,-4.899,-0.3,-0.259,-0.696,0.486,1.008,0.969,-0.75,0.457,0.988,1.15,0.985,0.208,0.236,1.719,-1.128,0.44,0.081,0.992,-0.064,1.9,-0.102,-0.255,0.111,-0.452,-1.021,-0.442,-0.21,-0.538,-0.05,0.09,0.067,0.485,0.236,1.015,0.94,0.562,0.209,0.976,1.549,2.786,0.373,0.456,2.955,1.273,0.194,0.007,0.985,0.004,3.649,0.015
-732000,-4.802,-0.289,-0.247,-0.534,0.022,1.404,0.62,-0.657,0.413,1.001,1.125,0.872,0.256,0.289,1.719,-1.504,0.434,-0.673,0.992,-0.064,1.917,-0.105,0.136,0.111,-0.534,-1.021,-0.674,-0.21,-0.129,-0.05,0.085,0.062,0.285,0.0,1.972,0.384,0.432,0.188,1.004,1.478,2.539,0.389,0.475,2.955,2.262,0.188,0.453,0.985,0.004,3.711,0.015
-730000,-4.704,-0.278,-0.235,-0.371,-0.326,1.798,0.006,-0.556,0.369,1.014,1.1,0.759,0.304,0.342,1.719,-1.128,0.43,-1.177,1.087,-0.064,1.933,-0.108,0.529,0.111,-0.615,-1.021,-0.905,-0.21,0.211,-0.05,0.079,0.058,0.138,0.106,3.231,0.0,0.309,0.167,1.032,1.407,2.292,0.404,0.495,2.955,1.273,0.185,1.385,1.183,0.004,3.774,0.015
-728000,-4.607,-0.266,-0.223,-0.29,-0.789,-1.667,-0.762,-0.438,0.325,1.028,1.075,0.647,0.352,0.395,0.839,-1.504,-3.799,-1.473,1.278,-0.064,1.95,-0.112,0.927,0.111,-0.696,-1.021,-1.021,-0.21,0.27,-0.05,0.074,0.053,0.084,0.623,2.78,0.581,0.192,0.146,1.06,1.335,2.044,0.419,0.514,0.704,2.262,14.433,2.169,1.633,0.004,3.836,0.016
-726000,-4.509,-0.255,-0.211,-0.128,-1.137,-1.28,-1.432,-0.32,0.281,1.041,1.05,0.534,0.4,0.448,1.719,-1.128,0.423,-1.284,1.278,-0.064,1.966,-0.115,1.326,0.111,-0.777,-1.021,-1.137,-0.21,0.093,-0.05,0.068,0.048,0.016,1.293,1.639,2.05,0.102,0.125,1.088,1.264,1.797,0.435,0.534,2.955,1.273,0.179,1.648,1.633,0.004,3.898,0.016
-724000,-4.412,-0.244,-0.199,0.035,-1.369,-0.896,-1.684,-0.202,0.237,1.055,1.025,0.421,0.448,0.501,1.719,-0.753,0.421,-0.488,1.278,-0.064,1.983,-0.118,0.449,0.111,-0.859,-1.021,-1.021,-0.21,-0.295,-0.05,0.063,0.043,0.001,1.874,0.802,2.837,0.041,0.104,1.117,1.193,1.549,0.45,0.553,2.955,0.566,0.177,0.238,1.633,0.004,3.961,0.017
-722000,-4.314,-0.232,-0.187,0.116,-1.485,-0.512,-1.536,-0.076,0.193,1.068,1.0,0.309,0.496,0.553,0.839,-0.377,0.419,0.279,1.373,-0.064,1.999,-0.121,-1.709,0.111,-0.94,-1.021,-1.021,-0.21,-0.673,-0.05,0.057,0.039,0.013,2.205,0.263,2.358,0.006,0.084,1.145,1.121,1.302,0.466,0.572,0.704,0.142,0.176,0.078,1.885,0.004,4.023,0.017
-720000,-4.217,-0.221,-0.175,0.279,-1.369,-0.132,-0.884,0.042,0.15,1.081,0.975,0.196,0.544,0.606,1.719,0.375,0.416,1.239,1.278,-0.064,2.016,-0.125,-1.29,0.111,-1.021,-1.021,-0.789,-0.21,-0.833,-0.05,0.052,0.034,0.078,1.874,0.017,0.781,0.002,0.063,1.173,1.05,1.055,0.481,0.592,2.955,0.14,0.173,1.535,1.633,0.004,4.085,0.018
-718000,-4.119,-0.21,-0.163,0.36,-1.253,0.246,-0.035,0.152,0.106,1.095,0.95,0.083,0.592,0.659,0.839,0.375,0.414,1.615,1.183,-0.064,2.032,-0.128,-0.861,0.111,-1.184,-1.021,-0.558,-0.21,-0.758,-0.05,0.046,0.029,0.129,1.57,0.061,0.001,0.023,0.042,1.201,0.979,0.807,0.496,0.611,0.704,0.14,0.171,2.607,1.399,0.004,4.147,0.018
-716000,-4.021,-0.198,-0.151,0.441,-0.905,0.623,0.733,0.261,0.062,1.108,0.925,-0.03,0.64,0.712,0.839,1.126,0.412,1.462,1.183,-0.064,2.049,-0.131,-0.417,0.111,-1.265,-1.021,-0.21,-0.21,-0.399,-0.05,0.041,0.024,0.195,0.82,0.388,0.537,0.068,0.021,1.23,0.907,0.56,0.512,0.63,0.704,1.268,0.17,2.137,1.399,0.004,4.21,0.018
-714000,-3.924,-0.187,-0.139,0.604,-0.558,0.997,1.198,0.371,0.018,1.121,0.9,-0.142,0.688,0.765,1.719,1.126,0.408,0.882,1.183,-0.064,2.065,-0.134,0.045,0.111,-1.346,-1.021,0.022,-0.21,0.054,-0.05,0.035,0.019,0.364,0.311,0.993,1.434,0.138,0.0,1.258,0.836,0.312,0.527,0.65,2.955,1.268,0.167,0.777,1.399,0.004,4.272,0.019
-712000,-4.179,0.096,0.158,0.685,-0.21,1.366,1.076,0.472,-0.026,1.761,0.875,-0.255,0.736,0.818,0.839,1.126,0.404,-0.238,1.087,-0.064,2.082,-0.137,0.541,0.111,-1.427,-1.021,0.37,-0.21,0.429,-0.05,0.009,0.025,0.469,0.044,1.867,1.158,0.223,0.001,3.1,0.765,0.065,0.542,0.669,0.704,1.268,0.164,0.056,1.183,0.004,4.334,0.019
-710000,-4.152,0.036,0.096,0.766,0.254,1.732,0.575,0.573,-0.07,1.906,0.827,0.027,-0.208,-0.212,0.839,1.502,0.4,-0.962,1.087,-0.065,0.483,-0.141,1.072,0.111,-1.508,-1.021,0.717,-0.21,0.633,-0.05,0.001,0.009,0.587,0.064,3.0,0.331,0.328,0.005,3.632,0.683,0.001,0.043,0.045,0.704,2.255,0.16,0.925,1.183,0.004,0.233,0.02
-708000,-4.552,0.276,0.341,0.847,0.601,-0.474,-0.18,0.666,-0.113,1.646,0.717,-0.4,0.617,0.667,0.839,1.126,-2.419,-1.447,0.992,-0.064,-0.827,-0.327,1.63,0.111,-1.508,-1.021,1.065,-0.21,0.582,-0.05,0.076,0.116,0.718,0.362,0.224,0.032,0.443,0.013,2.708,0.514,0.16,0.381,0.446,0.704,1.268,5.851,2.095,0.985,0.004,0.684,0.107
-706000,-4.382,0.42,0.484,0.847,0.949,-1.397,-0.858,0.75,-0.157,1.069,0.56,0.17,0.354,0.376,-0.041,1.126,-1.014,-1.3,0.897,-0.065,-1.849,-0.471,-1.669,0.111,-1.508,-1.021,1.297,-0.21,0.412,-0.05,0.176,0.234,0.718,0.901,1.953,0.736,0.562,0.025,1.144,0.314,0.029,0.125,0.141,0.002,1.268,1.027,1.69,0.805,0.004,3.417,0.222
-704000,-4.11,0.467,0.532,0.928,1.181,-1.04,-1.123,0.817,-0.202,0.504,0.375,0.272,0.088,0.103,0.839,0.75,0.39,-0.512,0.707,-0.065,-1.813,-0.554,-1.156,0.111,-1.427,-1.021,1.413,-0.21,0.256,-0.05,0.218,0.283,0.862,1.395,1.083,1.261,0.668,0.041,0.254,0.141,0.074,0.008,0.011,0.704,0.563,0.152,0.262,0.5,0.004,3.285,0.307
-702000,-3.81,0.335,0.4,1.01,1.297,-0.684,-0.977,0.885,-0.245,0.107,0.177,0.3,-0.405,-0.41,0.839,0.375,0.39,0.273,0.707,-0.064,-1.272,-0.595,-0.677,0.111,-1.265,-1.021,1.413,-0.21,0.221,-0.05,0.112,0.16,1.02,1.682,0.468,0.955,0.783,0.06,0.011,0.031,0.09,0.164,0.168,0.704,0.14,0.152,0.075,0.5,0.004,1.617,0.355
-700000,-3.487,0.339,0.403,1.01,1.297,-0.329,-0.3,0.935,-0.289,-0.246,-0.042,0.323,-0.031,-0.024,-0.041,-0.001,0.388,1.287,0.517,-0.065,-1.127,-0.658,-0.233,0.111,-1.184,-1.021,1.297,-0.21,0.404,-0.05,0.115,0.163,1.02,1.682,0.108,0.09,0.875,0.084,0.061,0.002,0.104,0.001,0.001,0.002,0.0,0.151,1.657,0.267,0.004,1.271,0.432
-698000,-3.389,0.543,0.606,1.091,1.181,0.027,0.607,0.977,-0.333,-0.711,-0.261,0.098,0.519,0.545,0.839,-0.377,0.389,1.726,0.422,-0.064,-1.488,-0.658,0.193,-1.037,-1.021,-0.696,1.181,0.022,0.687,-0.751,0.295,0.367,1.19,1.395,0.001,0.368,0.955,0.111,0.505,0.068,0.01,0.27,0.297,0.704,0.142,0.151,2.98,0.178,0.004,2.214,0.432
-696000,-3.353,0.627,0.688,1.091,0.949,0.382,1.466,1.003,-0.377,-0.882,-0.411,0.036,0.189,0.202,-0.041,-0.753,0.388,1.635,0.232,-0.065,-0.538,-0.451,0.605,-0.641,-0.859,-0.696,0.833,0.37,0.924,-0.521,0.393,0.473,1.19,0.901,0.146,2.15,1.005,0.142,0.778,0.169,0.001,0.036,0.041,0.002,0.566,0.151,2.675,0.054,0.004,0.29,0.203
-694000,-3.379,0.553,0.615,1.091,0.717,0.738,2.022,1.02,-0.366,-0.979,-0.445,-0.026,-0.244,-0.24,-0.041,-0.753,0.389,1.056,0.136,0.02,-0.298,-0.099,1.008,-0.249,-0.696,-0.615,0.486,0.601,0.969,-0.056,0.306,0.379,1.19,0.515,0.544,4.089,1.039,0.134,0.958,0.198,0.001,0.059,0.058,0.002,0.566,0.151,1.115,0.019,0.0,0.089,0.01
-692000,-3.653,0.611,0.673,1.091,0.486,1.095,1.909,1.028,-0.354,-0.86,-0.363,-0.274,0.118,0.131,-0.041,-0.753,0.391,-0.221,0.041,0.02,0.399,0.252,1.404,0.14,-0.534,-0.534,0.022,0.833,0.62,0.568,0.374,0.453,1.19,0.236,1.2,3.644,1.057,0.126,0.739,0.132,0.075,0.014,0.017,0.002,0.566,0.153,0.049,0.002,0.0,0.159,0.064
-690000,-3.742,0.617,0.678,1.091,0.138,1.452,1.297,1.028,-0.343,-0.454,-0.233,-0.089,-0.026,-0.019,-0.041,-1.128,0.39,-1.175,-0.054,0.02,1.325,0.397,1.798,0.525,-0.371,-0.534,-0.326,1.065,0.006,1.131,0.381,0.46,1.19,0.019,2.109,1.681,1.057,0.118,0.207,0.054,0.008,0.001,0.0,0.002,1.273,0.152,1.379,0.003,0.0,1.755,0.158
-688000,-4.191,0.37,0.435,1.091,-0.21,0.527,0.23,1.011,-0.332,-0.023,-0.11,-0.449,-0.721,-0.729,-0.041,-1.128,-1.016,-2.042,-0.244,0.02,1.409,0.376,-1.667,0.907,-0.29,-0.452,-0.789,1.065,-0.762,1.366,0.137,0.189,1.19,0.044,0.277,0.053,1.022,0.11,0.001,0.012,0.202,0.519,0.532,0.002,1.273,1.031,4.168,0.059,0.0,1.985,0.142
-686000,-4.345,0.071,0.132,1.091,-0.442,-1.683,-0.881,0.986,-0.321,0.129,-0.055,-0.154,-0.863,-0.899,-0.041,-0.753,-2.423,-2.128,-0.339,0.02,0.507,0.17,-1.28,1.29,-0.128,-0.452,-1.137,1.065,-1.432,1.275,0.005,0.017,1.19,0.195,2.834,0.776,0.972,0.103,0.017,0.003,0.024,0.745,0.808,0.002,0.566,5.873,4.528,0.115,0.0,0.257,0.029
-684000,-4.727,-0.085,-0.031,1.01,-0.674,-1.323,-1.669,0.944,-0.322,-0.09,-0.049,-0.382,-0.469,-0.499,-0.922,-0.753,0.394,-1.511,-0.529,0.0,-0.695,0.025,-0.896,1.672,0.035,-0.452,-1.369,0.949,-1.684,0.777,0.007,0.001,1.02,0.454,1.751,2.787,0.891,0.104,0.008,0.002,0.146,0.22,0.249,0.85,0.566,0.155,2.282,0.28,0.0,0.483,0.001
-682000,-5.343,-0.016,0.042,1.01,-0.789,-0.963,-2.032,0.902,-0.323,-0.042,-0.062,-0.616,0.146,0.174,-0.041,-0.377,0.394,-0.698,-0.529,0.001,0.171,-0.037,-0.512,-1.799,0.116,-0.452,-1.485,0.717,-1.536,0.132,0.0,0.002,1.02,0.623,0.927,4.129,0.813,0.104,0.002,0.004,0.379,0.021,0.03,0.002,0.142,0.156,0.487,0.28,0.0,0.029,0.001
