year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-800000,-3.135,-0.777,-0.79,-1.021,-0.21,0.111,-0.05,-0.901,1.904,-0.811,1.975
-798000,-3.889,-0.851,-0.874,-0.696,0.022,-1.037,-0.751,-0.758,1.861,-1.778,1.95
-796000,-4.182,-0.665,-0.667,-0.696,0.37,-0.641,-0.521,-0.724,1.817,-1.902,1.925
-794000,-4.476,-0.48,-0.46,-0.615,0.601,-0.249,-0.056,-0.682,1.773,-2.026,1.9
-792000,-4.769,-0.294,-0.253,-0.534,0.833,0.14,0.568,-0.649,1.729,-2.149,1.875
-790000,-4.539,0.045,0.098,-0.534,1.065,0.525,1.131,-0.615,1.685,-2.248,1.85
-788000,-4.309,0.385,0.449,-0.452,1.065,0.907,1.366,-0.598,1.641,-2.346,1.825
-786000,-3.559,0.889,0.925,-0.452,1.065,1.29,1.275,-0.573,1.598,-2.432,1.8
-784000,-2.809,1.393,1.4,-0.452,0.949,1.672,0.777,-0.564,1.554,-2.517,1.775
-782000,-5.259,1.296,1.314,-0.452,0.717,-1.799,0.132,-0.556,1.51,-2.153,1.75
-780000,-4.819,1.124,1.148,-0.452,0.486,-1.415,-0.45,-0.564,1.466,-2.043,1.725
-778000,-4.379,0.952,0.982,-0.452,0.254,-1.029,-0.819,-0.573,1.422,-1.932,1.7
-776000,-3.939,0.779,0.816,-0.452,-0.094,-0.643,-0.801,-0.581,1.378,-1.822,1.675
-774000,-3.499,0.607,0.65,-0.452,-0.442,-0.255,-0.538,-0.606,1.334,-1.711,1.65
-772000,-3.059,0.435,0.484,-0.534,-0.674,0.136,-0.129,-0.64,1.29,-1.601,1.625
-770000,-2.619,0.262,0.318,-0.615,-0.905,0.529,0.211,-0.682,1.246,-1.49,1.6
-768000,-2.179,0.09,0.152,-0.696,-1.021,0.927,0.27,-0.733,1.203,-1.38,1.575
-766000,-4.769,0.026,0.084,-0.777,-1.137,1.326,0.093,-0.775,1.158,-0.518,1.55
-764000,-4.524,-0.07,-0.016,-0.859,-1.021,0.449,-0.295,-0.834,1.115,-0.098,1.525
-762000,-4.279,-0.166,-0.116,-0.94,-1.021,-1.709,-0.673,-0.884,1.071,0.322,1.5
-760000,-1.829,-0.302,-0.263,-1.021,-0.789,-1.29,-0.833,-0.935,1.027,0.839,1.475
-758000,-1.706,-0.437,-0.412,-1.184,-0.558,-0.861,-0.758,-0.977,0.983,1.271,1.45
-756000,-1.582,-0.571,-0.561,-1.265,-0.21,-0.417,-0.399,-1.019,0.939,1.704,1.425
-754000,-1.459,-0.706,-0.71,-1.346,0.022,0.045,0.054,-1.053,0.895,2.136,1.4
-752000,-1.486,-0.891,-0.927,-1.427,0.37,0.541,0.429,-1.078,0.852,1.969,1.375
-750000,-1.512,-1.076,-1.145,-1.508,0.717,1.072,0.633,-1.095,0.808,1.802,1.35
-748000,-1.539,-1.26,-1.363,-1.508,1.065,1.63,0.582,-1.095,0.764,1.634,1.325
-746000,-3.019,-1.289,-1.398,-1.508,1.297,-1.669,0.412,-1.087,0.72,1.649,1.3
-744000,-4.499,-1.319,-1.433,-1.427,1.413,-1.156,0.256,-1.061,0.676,1.664,1.275
-742000,-4.029,-1.342,-1.463,-1.265,1.413,-0.677,0.221,-1.028,0.632,1.395,1.25
-740000,-3.559,-1.366,-1.492,-1.184,1.297,-0.233,0.404,-0.977,0.588,1.125,1.225
-738000,-4.006,-1.011,-1.081,-1.021,1.181,0.193,0.687,-0.918,0.545,1.079,1.2
-736000,-4.452,-0.655,-0.67,-0.859,0.833,0.605,0.924,-0.842,0.501,1.034,1.175
-734000,-4.899,-0.3,-0.259,-0.696,0.486,1.008,0.969,-0.75,0.457,0.988,1.15
-732000,-4.802,-0.289,-0.247,-0.534,0.022,1.404,0.62,-0.657,0.413,1.001,1.125
-730000,-4.704,-0.278,-0.235,-0.371,-0.326,1.798,0.006,-0.556,0.369,1.014,1.1
-728000,-4.607,-0.266,-0.223,-0.29,-0.789,-1.667,-0.762,-0.438,0.325,1.028,1.075
-726000,-4.509,-0.255,-0.211,-0.128,-1.137,-1.28,-1.432,-0.32,0.281,1.041,1.05
-724000,-4.412,-0.244,-0.199,0.035,-1.369,-0.896,-1.684,-0.202,0.237,1.055,1.025
-722000,-4.314,-0.232,-0.187,0.116,-1.485,-0.512,-1.536,-0.076,0.193,1.068,1.0
-720000,-4.217,-0.221,-0.175,0.279,-1.369,-0.132,-0.884,0.042,0.15,1.081,0.975
-718000,-4.119,-0.21,-0.163,0.36,-1.253,0.246,-0.035,0.152,0.106,1.095,0.95
-716000,-4.021,-0.198,-0.151,0.441,-0.905,0.623,0.733,0.261,0.062,1.108,0.925
-714000,-3.924,-0.187,-0.139,0.604,-0.558,0.997,1.198,0.371,0.018,1.121,0.9
-712000,-4.179,0.096,0.158,0.685,-0.21,1.366,1.076,0.472,-0.026,1.761,0.875
-710000,-4.152,0.036,0.096,0.766,0.254,1.732,0.575,0.573,-0.07,1.906,0.827
-708000,-4.552,0.276,0.341,0.847,0.601,-0.474,-0.18,0.666,-0.113,1.646,0.717
-706000,-4.382,0.42,0.484,0.847,0.949,-1.397,-0.858,0.75,-0.157,1.069,0.56
-704000,-4.11,0.467,0.532,0.928,1.181,-1.04,-1.123,0.817,-0.202,0.504,0.375
-702000,-3.81,0.335,0.4,1.01,1.297,-0.684,-0.977,0.885,-0.245,0.107,0.177
-700000,-3.487,0.339,0.403,1.01,1.297,-0.329,-0.3,0.935,-0.289,-0.246,-0.042
-698000,-3.389,0.543,0.606,1.091,1.181,0.027,0.607,0.977,-0.333,-0.711,-0.261
-696000,-3.353,0.627,0.688,1.091,0.949,0.382,1.466,1.003,-0.377,-0.882,-0.411
-694000,-3.379,0.553,0.615,1.091,0.717,0.738,2.022,1.02,-0.366,-0.979,-0.445
-692000,-3.653,0.611,0.673,1.091,0.486,1.095,1.909,1.028,-0.354,-0.86,-0.363
-690000,-3.742,0.617,0.678,1.091,0.138,1.452,1.297,1.028,-0.343,-0.454,-0.233
-688000,-4.191,0.37,0.435,1.091,-0.21,0.527,0.23,1.011,-0.332,-0.023,-0.11
-686000,-4.345,0.071,0.132,1.091,-0.442,-1.683,-0.881,0.986,-0.321,0.129,-0.055
-684000,-4.727,-0.085,-0.031,1.01,-0.674,-1.323,-1.669,0.944,-0.322,-0.09,-0.049
-682000,-5.343,-0.016,0.042,1.01,-0.789,-0.963,-2.032,0.902,-0.323,-0.042,-0.062
-680000,-6.223,-0.005,0.053,0.928,-0.905,-0.603,-1.73,0.826,-0.324,-0.042,-0.062
-678000,-5.338,0.321,0.385,0.847,-0.905,-0.242,-1.038,0.75,-0.325,-0.042,-0.076
-676000,-5.783,-0.187,-0.138,0.847,-0.789,0.116,-0.098,0.666,-0.327,-0.157,-0.137
-674000,-5.341,-0.26,-0.217,0.766,-0.674,0.475,0.765,0.565,-0.328,-0.625,-0.199
-672000,-6.325,-0.785,-0.799,0.685,-0.442,0.832,1.212,0.455,-0.329,-0.614,-0.199
-670000,-6.862,-1.049,-1.108,0.522,-0.21,1.186,1.255,0.346,-0.33,-0.113,-0.131
-668000,-6.556,-1.288,-1.395,0.441,0.022,1.537,0.822,0.228,-0.331,0.148,-0.055
-666000,-7.163,-1.75,-1.982,0.36,0.37,1.884,0.218,0.101,-0.333,0.267,0.013
-664000,-8.648,-1.707,-1.927,0.197,0.601,-1.626,-0.343,-0.034,-0.334,0.846,0.109
-662000,-8.17,-1.255,-1.356,0.035,0.717,-1.286,-0.707,-0.16,-0.335,1.556,0.232
-660000,-7.251,-1.196,-1.284,-0.046,0.833,-0.952,-0.706,-0.286,-0.337,2.285,0.314
-658000,-7.995,-1.379,-1.509,-0.209,0.949,-0.625,-0.474,-0.413,-0.337,2.37,0.348
-656000,-8.469,-1.299,-1.41,-0.371,0.833,-0.304,-0.068,-0.531,-0.339,2.341,0.362
-654000,-7.696,-0.888,-0.917,-0.534,0.717,0.009,0.335,-0.64,-0.34,2.59,0.362
-652000,-7.82,-1.127,-1.2,-0.696,0.486,0.307,0.587,-0.724,-0.341,2.445,0.348
-650000,-8.469,-1.384,-1.516,-0.777,0.254,0.592,0.686,-0.8,-0.343,2.084,0.307
-648000,-7.91,-1.16,-1.241,-0.859,-0.094,0.859,0.596,-0.859,-0.344,1.913,0.3
