Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1430A-16H-2,10-12",146.35,8989.65,60.91,10.99,0.43,4.02,0.03,0.43,1.72,2.91,2.03,0.07,48.7,2.07,11.46,151.45,81.29,19.78,52.16,62.89,159.22,98.92,78.84,24.9,83.75,9.26,11.31,0.67,1.95,2.82,6.55,240.39,1.99,0.56,25.47,9.71,10.77,26.41,67.75,6.01,24.14,5.04,1.07,0.74,4.4,4.17,0.82,2.35,0.36,2.39,0.37
"346-U1430A-16H-1,145-150",147.72,9024.44,50.19,12.68,0.51,5.79,0.02,0.35,1.93,2.63,2.24,0.08,63.57,2.13,14.82,182.55,101.64,8.42,62.86,74.03,149.04,138.65,86.66,26.56,114.84,9.12,16.01,0.15,2.3,4.31,7.51,295.39,2.31,0.85,32.23,9.16,10.39,49.25,64.38,6.95,25.55,5.23,1.15,0.77,4.73,4.25,0.85,2.35,0.38,2.42,0.38
"346-U1430A-16H-5,5-6",150.8,9102.64,55.24,15.83,0.6,5.42,0.03,0.39,2.34,2.67,2.8,0.07,73.44,2.51,15.95,127.62,96.66,25.59,58.46,71.54,180.98,126.74,88.52,21.47,120.51,12.64,3.12,0.63,2.38,2.99,9.04,303.55,2.71,1.02,33.41,11.94,7.82,26.86,72.76,6.32,24.61,5.08,1.03,0.65,4.19,3.59,0.7,2.02,0.31,2.01,0.32
"346-U1430A-17H-2,7-9",157.69,9258.95,53.98,13.65,0.67,5.8,0.09,6.48,2.65,3.11,3.01,0.15,55.57,2.42,15.49,109.04,73.18,15.28,57.7,46.92,133.94,117.1,155.08,29.61,226.84,11.66,13.71,0.23,2.26,3.34,8.37,667.14,2.58,0.83,32.88,11.8,8.8,39.03,80.88,7.82,29.66,5.96,1.3,0.81,5.21,4.49,0.88,2.42,0.38,2.42,0.37
"346-U1430A-17H-3,89-90",160.01,9310.89,57.06,16.71,0.65,6.05,0.03,0.4,2.44,1.85,2.94,0.09,76.58,2.55,18.39,133.31,104.99,26.73,61.6,75.68,203.95,144.42,85.53,26.77,143.07,13.4,3.77,0.56,2.57,2.84,8.86,489.77,2.91,1,33.84,11.37,8.62,26.42,79.62,5.6,21.96,4.73,1,0.68,4.19,3.89,0.79,2.33,0.37,2.42,0.39
"346-U1430A-18H-1,145-150",167.23,9474.68,52.3,16.04,0.61,5.98,0.04,0.47,2.42,2.71,2.85,0.11,76.04,2.75,18.86,140.23,94.24,36.34,78.43,98.31,198.61,140.65,99.01,36.41,140.43,12.83,7.46,1.23,2.62,3.18,11.25,512.98,2.78,0.74,58.92,14.12,11.66,40.91,102.9,8.45,34.25,6.98,1.44,0.94,5.86,5.38,1.06,3.1,0.47,3.11,0.5
"346-U1430A-18H-2,7-9",167.33,9477.06,56.59,13.39,0.53,4.48,0.03,0.27,2.05,2.64,2.42,0.06,64.71,2.12,16.13,114.33,68.5,13.83,58.91,73.6,126.61,142.06,84.69,22.6,115.76,9.71,8.09,0.17,2.23,2.35,8.53,281.24,2.4,0.67,30.57,10.06,7.73,47.91,76.85,7.16,26.15,5.17,1.13,0.69,4.38,3.8,0.75,2.08,0.34,2.17,0.35
"346-U1430A-18H-3,128-129",170.04,9538.24,58.24,14.21,0.54,4.2,0.03,0.41,2.07,2.73,2.47,0.09,63.97,2.33,15.01,120.82,89.97,19.03,58.71,73.08,171.01,118.95,87.11,21.87,111.05,11.43,7.71,1.2,2.24,1.83,8.31,343.27,2.49,0.85,28.96,11.42,8.68,19.6,70.24,5.98,23.09,4.73,0.95,0.61,3.92,3.39,0.68,2.01,0.31,2.04,0.33
"346-U1430A-19H-2,10-12",177.35,9703.69,51.2,14.49,0.59,6.07,0.03,0.41,2.36,2.55,2.81,0.09,59.38,2.58,17.47,159.07,58.53,16.09,66.32,98.46,160.37,117.43,106.88,28.62,128.02,10.2,12.31,0.26,2.3,2.91,9.09,367.07,2.54,0.74,34.41,11.15,9.05,29.73,74.17,7.13,27.48,5.54,1.2,0.77,4.91,4.34,0.86,2.39,0.38,2.33,0.36
"346-U1430A-19H-5,5-6",181.8,9804.23,53.76,15.19,0.58,6.28,0.04,0.46,2.24,2.05,2.72,0.14,68.73,2.54,16.22,170.89,110.16,18.2,63.44,77.39,181.87,132.97,95.23,28.56,130.87,12.75,10.16,0.52,2.36,3.56,8.54,503.84,2.77,0.94,34.48,12.14,12.05,20.74,75.99,6.27,24.61,5.22,1.1,0.72,4.52,4.08,0.83,2.44,0.38,2.44,0.38
"346-U1430A-20H-1,145-150",187.36,9929.98,51.26,14.69,0.57,6.01,0.04,0.53,2.3,2.67,2.65,0.21,66.88,2.84,13.97,162.3,111.92,13.96,68.41,75.03,194.41,139.45,99.19,55.13,117.34,12.56,9.91,0.55,2.34,3.31,9.03,460.26,2.75,0.97,33.57,12.54,12.35,38.65,96.38,8.02,32,6.95,1.51,1.02,6.34,6.03,1.25,3.78,0.61,3.96,0.65
"346-U1430A-20H-2,7-9",187.46,9932.36,51.52,15.5,0.6,6.08,0.04,0.35,2.37,2.42,2.91,0.07,71.81,2.58,17.86,160.82,66.82,25.46,62.45,76.46,159.15,128.21,97.29,24.45,133.45,10.15,8.52,0.3,2.28,2.22,10.23,510.19,2.76,0.78,39.94,11.56,7.25,28.47,89.16,7.03,26.89,5.33,1.13,0.7,4.46,3.84,0.74,2.11,0.33,2.07,0.32
"346-U1430A-20H-3,112-113",190.01,9969.33,54.21,13.84,0.54,5.81,0.04,0.43,2.2,2.79,2.56,0.1,55.73,2.32,15.09,171.38,105.85,13.71,61.94,68.32,159.6,116.14,97.26,24.49,118.18,11.32,11.66,0.49,2.15,3.38,9.33,374.95,2.47,0.69,29.07,12.04,9.63,29.37,80.3,7.17,26.6,5.51,1.14,0.72,4.69,4.09,0.8,2.24,0.34,2.24,0.34
"346-U1430A-21H-2,7-9",197.05,10113.31,50.36,13.7,0.54,5.96,0.03,0.34,2.17,2.62,2.54,0.09,57.14,2.65,15.93,157.19,68.25,20.58,72.56,77.36,140.87,121.8,153.78,25.8,132.56,18.34,15.83,0.17,2.72,2.56,9.2,477.28,3.34,1.23,29.49,12.39,6.5,34.17,80.4,7.91,30.18,5.96,1.19,0.84,5.33,4.77,0.95,2.67,0.43,2.6,0.4
"346-U1430A-21H-5,5-6",201.53,10292.4,57.69,12.67,0.47,4.84,0.03,0.36,1.64,1.77,2.25,0.09,49.41,2.08,12.54,244.29,119.22,8.55,68.92,76.55,196.12,125.22,96.55,20.14,91.48,10.17,11.62,2.03,1.96,4.54,8.06,2625.52,2.35,0.86,29.74,11.21,10.11,21.37,65.25,6.07,23.13,4.76,1.09,0.63,4.03,3.5,0.68,1.93,0.29,1.84,0.28
"346-U1430A-22H-1,145-150",194.45,10600.64,57.69,12.67,0.47,4.84,0.03,0.36,1.64,1.77,2.25,0.09,49.41,2.08,12.54,244.29,119.22,8.55,68.92,76.55,196.12,125.22,96.55,20.14,91.48,10.17,11.62,2.03,1.96,4.54,8.06,2625.52,2.35,0.86,29.74,11.21,10.11,21.37,65.25,6.07,23.13,4.76,1.09,0.63,4.03,3.5,0.68,1.93,0.29,1.84,0.28
"346-U1430A-22H-2,7-9",207.79,11032.18,58.36,11.68,0.44,4.01,0.03,0.55,1.79,3.1,2.2,0.1,46.4,1.94,14.25,253.54,95.22,8.29,74.52,90.2,186.47,102.71,121.49,25.98,100.18,9.37,12.59,1.69,1.95,3.22,8.59,2775.18,2.09,0.64,27.7,10.94,8.95,25.87,69.46,6.38,23.97,4.95,1.17,0.66,4.31,3.67,0.73,2.04,0.31,1.97,0.3
"346-U1430A-23H-1,145-150",217.21,11470.64,63.11,10.48,0.4,3.71,0.02,0.38,1.53,2.37,2.03,0.1,37.63,1.88,12.23,141.42,81.52,11.88,54.3,65.35,141.68,100.79,119.97,23.07,97.17,8.78,6.88,0.89,1.85,2.55,6.42,1864.7,2.08,0.51,27.6,11.1,8.93,25.47,67.89,6.1,24.77,5.01,1.12,0.68,4.3,3.84,0.74,2.07,0.31,1.9,0.3
"346-U1430A-23H-5,5-6",221.79,11550.03,59.84,12.15,0.49,4.76,0.03,0.4,1.89,2.16,2.27,0.09,43.15,2.19,14.06,205.12,103.21,13.13,71.21,78.03,192.73,105.3,90.53,24.19,105.9,10.81,11.38,1.1,2.11,4.31,7.45,373.48,2.3,0.65,28.43,11.96,7.86,28.65,82.45,6.71,27.15,5.72,1.2,0.78,4.71,4.23,0.79,2.21,0.33,2.12,0.31
"346-U1430A-24H-1,145-150",227.11,11642.25,55.01,12.03,0.49,5.75,0.04,0.43,2.08,2.79,2.34,0.09,44.63,2.19,15.32,194.9,119.24,11.4,72.45,77.94,190.79,103.48,86.83,19.01,116.28,10.45,9.73,0.7,1.97,5.27,7.06,504.23,2.21,0.81,26.78,9.15,6.46,12.18,48.5,4.53,17.62,3.71,0.77,0.5,3.2,2.8,0.55,1.56,0.23,1.5,0.23
"346-U1430A-24H-2,7-9",227.21,11644.07,55.81,9.7,0.39,3.97,0.03,0.49,1.53,2.96,1.9,0.09,39.84,1.74,12.11,163.14,58.17,8.91,67.97,71.26,142.08,88.37,95.68,21.29,100.8,7.92,7.89,0.31,1.76,2.42,6.19,430.99,1.94,0.63,25.03,8.17,6.58,20.18,53.9,5.17,19.51,3.95,0.87,0.55,3.51,3.07,0.6,1.67,0.26,1.61,0.25
"346-U1430A-25H-2,8-10",236.5,11805.11,63.45,8.73,0.33,2.72,0.02,0.39,1.39,3.26,1.6,0.07,31.34,1.56,8.79,174.22,87.8,6.01,70.18,59.95,146.86,74.56,123.74,16.19,65.59,7.11,19.81,2.4,1.44,3.15,5.46,2897.45,1.62,0.46,19.9,8.07,5.29,16.63,42.78,4.08,16.32,3.47,0.88,0.47,3.03,2.76,0.55,1.5,0.23,1.52,0.24
"346-U1430A-26H-1,145-150",246.78,11983.23,70.45,7.51,0.28,2.37,0.02,0.31,1.19,1.77,1.45,0.06,24.68,1.4,8.16,148.44,85.73,6.92,58.45,57.73,135.01,63.24,68.21,15.8,62.69,6.27,21.59,3.68,1.28,2.23,5.22,880.76,1.41,0.42,17.37,7.16,7.29,16.98,40.83,4.16,15.88,3.35,0.74,0.46,3.01,2.65,0.53,1.45,0.23,1.53,0.24
"346-U1430A-26H-2,16-18",246.97,11986.61,67.42,7.12,0.26,2.11,0.01,0.42,1.26,3.22,1.38,0.06,24.03,1.36,7.04,123.27,86.28,5.3,54.45,60.29,232.51,67.31,72.93,16.74,49.38,5.58,20.73,3.68,1.2,1.84,4.31,779.07,1.18,0.32,15.53,6.48,9.94,13.58,44.14,4.02,16.6,3.51,0.77,0.5,3.14,2.87,0.56,1.57,0.23,1.48,0.24
"346-U1430A-28H-1,145-150",256.77,12156.4,60.22,12.7,0.46,4.19,0.03,0.43,1.93,1.9,2.18,0.14,46.17,2.08,13.59,128.23,92.57,17.17,80.21,78.64,183.14,108.2,129.69,26.08,101.63,10.36,10.49,0.96,2.08,1.59,7.31,2247.79,2.26,0.62,29.13,11.66,5.37,27.6,84.17,6.72,26.78,5.59,1.24,0.76,4.69,4.28,0.84,2.36,0.36,2.44,0.38
"346-U1430A-28H-2,1-12",256.9,12158.74,59.05,13.23,0.47,3.93,0.02,0.54,2.08,2.58,2.22,0.14,49.74,2.12,14.16,135.93,86.11,15.68,59.31,87.27,158.69,120.67,126.87,24.63,104.03,8.85,5.57,0.24,2.11,1.69,7.3,2962.07,2.23,0.65,31.28,10.75,5.97,20.78,63.49,5.86,23.11,4.66,1.08,0.66,4.22,3.84,0.76,2.22,0.34,2.2,0.36
"346-U1430A-29H-1,28-30",260.22,12374.57,55.8,12.94,0.49,7.31,0.03,0.42,2.55,2.42,3.04,0.06,46.13,3.17,18.57,129.28,116.05,39.3,86.74,81.65,254.49,143.76,150.02,26.22,127.53,14.2,7.73,0.88,2.24,1.87,11.8,2317.43,2.91,0.71,35.73,13.3,7.39,34.9,139.7,8.57,34.2,6.83,1.5,0.89,5.36,4.7,0.88,2.49,0.38,2.55,0.39
