Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1430A-5H-1,145-150",35.53,892.39,42.67,11.85,0.5,4.23,0.07,15,1.96,2.57,2.77,0.11,43.84,2.81,9.16,79.81,38.13,9.65,25.11,31.15,84.55,106.16,469.28,40.56,276.27,80.7,8.31,0.63,2.65,2.99,7.47,920.26,5.6,3.03,18.5,13.86,6.82,47.88,88.39,9.79,35.08,6.42,1.07,0.87,5.51,4.95,0.99,2.88,0.44,2.75,0.43
"346-U1430A-5H-3,5-7",37.11,937.53,55.72,15.2,0.77,5.75,0.06,1.25,2.53,3.07,3.41,0.13,75.5,3.36,14.09,116.01,88.01,18,59.8,46.91,142.46,156.73,179.87,32.07,255.27,40.5,4.82,0.35,3.28,2.86,12.62,988.84,5.27,2.34,34.94,17.43,5.32,53.66,118.85,11.58,41.43,8.14,1.59,1.03,6.76,5.78,1.11,3.05,0.47,3,0.44
"346-U1430A-5H-3,35-36",37.41,945.94,50.41,14.06,0.59,4.94,0.07,6.63,1.92,3.59,3.32,0.12,52.29,2.63,14.29,115.2,45.64,14.65,45.18,43.1,122.44,123.55,271.79,32.25,262.73,46.63,8.02,0.11,2.59,2.09,6.98,882.2,4.98,2.65,26.26,12.27,6.52,54.55,90.4,9.58,34.07,6.35,1.27,0.89,5.53,5.01,0.97,2.7,0.43,2.7,0.41
"346-U1430A-6H-1,145-150",45.45,1194.3,58.8,16.18,0.71,5.27,0.08,1.31,2.17,3.63,3.98,0.11,57.82,3.61,11.39,105.77,68.04,14.14,39.35,32.36,143.97,152.37,134.79,29.34,336.58,91.46,5.55,0.49,3.29,2.57,7.93,813.27,6.54,3.42,33.49,16.04,7.57,65.32,109.77,10.39,39.16,7.08,1.3,0.9,5.65,5,0.95,2.66,0.4,2.54,0.39
"346-U1430A-6H-2,6-8",45.54,1198.29,52.88,13.91,0.56,4.52,0.08,7.38,1.77,3.96,3.63,0.1,48.86,3.31,9.79,86.8,66.13,13.36,38.94,25.33,190.55,133.33,321.31,38.23,344.58,84.04,6.3,0.57,3.01,2.53,6.82,824.43,6.24,3.43,27.74,15.9,11.4,67.06,121.03,11.54,42.33,7.51,1.16,0.98,6.11,5.58,1.08,3.09,0.46,2.95,0.45
"346-U1430A-6H-3,109-110",48.07,1304.3,52.59,14.22,0.71,4.8,0.06,7.34,2.73,2.94,3.11,0.12,54.47,2.28,13.7,107.98,40.84,12.19,36.33,33,112.07,116.1,203.03,28.4,222.22,17.75,2.08,0.12,2.46,2.83,8.79,431.51,3.06,1.17,28.19,11.44,7.92,31.73,77.21,7.38,27.54,5.31,1.11,0.72,4.65,4.06,0.8,2.2,0.34,2.11,0.32
"346-U1430A-7H-1,145-150",55.5,2098.66,57.68,14.65,0.72,6.53,0.04,0.83,2.58,2.06,3.17,0.1,68.84,2.87,15.51,116.13,97.11,44.58,68.06,81.4,162.54,159.38,150.88,26.32,176.26,19.51,11.88,0.55,2.95,1.89,10.55,2150.26,3.08,1.07,36.18,16.06,10.7,48.67,93.01,8.63,34.3,6.67,1.36,0.83,5.32,4.55,0.87,2.47,0.38,2.49,0.4
"346-U1430A-7H-2,6-8",55.59,2111.31,55.82,15.43,0.75,6.52,0.04,1.01,2.85,2.47,3.33,0.12,66.35,2.78,16.49,127.92,96.34,32.84,79.1,76.71,133.3,144.74,152.09,29.96,184.93,18.94,14.15,0.75,3.02,2.18,9.51,1274.59,3.03,1.02,40.87,15.49,8.01,38.9,94.37,8.66,34.03,6.82,1.39,0.88,5.46,4.8,0.91,2.53,0.39,2.61,0.4
"346-U1430A-7H-3,19-20",57.22,2327.69,56.7,13.29,0.52,5.32,0.03,0.66,2.38,2.72,2.84,0.09,62.73,2.38,15.13,112.67,56.53,23.35,61.53,83.55,139.2,127.86,157.24,22.31,154.66,12.57,10.92,0.23,2.46,1.97,10.37,1919.92,2.63,0.88,35.19,12.03,7.55,28.35,76.04,7.06,26.54,5.27,1.21,0.71,4.53,4,0.81,2.23,0.36,2.28,0.35
"346-U1430B-7H-4,139-140",64.14,3139.73,64.48,11.94,0.6,4.13,0.04,0.72,2.09,2.99,2.72,0.09,46.36,2.17,14.07,103.52,55.58,8.88,31.71,47.06,79.13,117.32,114.44,27.53,251.8,23.88,5.41,0.09,2.37,1.52,6.24,1307.27,3.31,1.52,22.66,10.82,5.94,53.56,75.1,7.92,28.2,5.33,1.07,0.7,4.44,3.8,0.74,2,0.32,2.05,0.32
