Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1429A-3H-2,9-11",18.13,31.1,47.1,13.83,0.59,5.31,0.1,8.97,2.68,2.74,2.6,0.11,70.06,2.23,13.69,101.56,109.49,13.31,48.43,34.47,210.77,110.79,368.4,23.4,127.27,11.91,18.1,0.09,2.36,1.57,9.09,368.14,2.46,0.67,20.79,10.16,5.13,27.61,55.07,5.79,22.06,4.39,0.93,0.6,3.79,3.43,0.69,1.89,0.29,1.91,0.3
"346-U1429A-3H-3,37-38",19.92,33.71,46.26,12.58,0.58,4.59,0.1,8.17,2.4,2.85,2.57,0.1,72.17,2.38,12.75,89.76,72.39,14.89,36.91,38.58,112.82,165.63,369.02,21.07,111.66,12.26,2.66,0.12,2.85,1.37,8.38,534.38,2.69,0.84,22.73,11.22,4.85,35.85,58.39,6.35,24.02,4.77,1.01,0.65,4.15,3.69,0.75,2.13,0.32,2.05,0.31
"346-U1429A-3H-5,97-98",23.52,40.85,46.68,13.03,0.52,4.89,0.12,7.74,2.55,2.76,2.59,0.11,57.65,1.8,14.48,116.93,78.15,11.97,42.84,32.16,91.85,123.5,311.28,22.2,122.23,9.48,2.65,0.11,2.2,1.09,6.72,336.07,1.96,0.64,17.18,8.48,3.41,19.74,45.85,4.79,18.03,3.56,0.74,0.48,3.09,2.75,0.55,1.57,0.24,1.51,0.23
"346-U1429A-3H-6,67-68",24.72,42.93,47.31,13.1,0.57,4.73,0.12,8.22,2.49,2.87,2.36,0.11,69.97,2.29,11.96,104.55,76.71,13.1,42.25,29.9,112.48,111.45,359.37,19.84,118.39,10.54,2.43,0.12,2.41,1.09,9.02,374.23,2.16,0.74,19.42,10.01,3.52,26.04,51.61,5.7,21.04,3.99,0.85,0.53,3.5,2.95,0.6,1.78,0.25,1.6,0.24
"346-U1429B-4H-3,37-38",27.43,47.64,47.34,12.68,0.56,4.52,0.1,7.93,2.39,2.96,2.24,0.11,68,2.12,11.17,96.1,78.97,13.2,43.01,30.09,115.44,109.26,347.72,16.51,98.28,10.27,3.66,0.21,2.36,1.09,9.33,411.29,2.14,0.74,18.46,9.29,4.72,24.71,49.5,5.59,20.6,3.95,0.85,0.5,3.38,2.84,0.56,1.67,0.24,1.54,0.25
"346-U1429A-4H-1,145-150",29.2,46.29,47.96,13.2,0.56,4.76,0.1,9.03,2.43,1.99,2.55,0.11,68.38,2.33,12,84.77,87.03,13.06,48.03,26.23,214.58,110.68,369.01,19.66,97.07,10.29,2.16,0.13,2.34,1.36,9.47,468.08,2.23,0.74,18.68,9.89,3.55,28.81,52.03,5.55,21.38,4.05,0.88,0.57,3.63,3.22,0.64,1.84,0.27,1.78,0.28
"346-U1429A-4H-2,9-11",29.34,46.58,46.36,12.61,0.52,4.63,0.11,8.46,2.44,2.74,2.47,0.11,64.02,1.94,11.34,77.45,76.58,12.41,46.29,26.16,271.44,106.42,353.21,18.6,106.51,11.21,3.67,0.36,2.31,1.2,8.34,377.41,2.19,0.65,18.46,9.57,3.6,24.09,48.89,5.21,20.29,4,0.85,0.54,3.45,3.08,0.62,1.74,0.27,1.73,0.27
"346-U1429B-4H-6,127-128",32.83,53.79,46.87,13.36,0.58,4.75,0.09,7.6,2.45,2.76,2.44,0.1,66.7,2.21,11.9,99.35,76.94,13.17,40.02,27.7,119.4,108.89,325.5,18.46,107.65,10.4,1.98,0.12,2.34,1.03,9.02,363.38,2.21,0.74,19.22,10.07,3.44,25.49,52.38,5.73,21.22,4.03,0.85,0.52,3.4,2.86,0.59,1.74,0.26,1.62,0.25
"346-U1429A-4H-6,37-38",35.63,57.51,47.51,13.72,0.61,4.89,0.12,7.93,2.58,2.71,2.39,0.11,72.07,2.34,12.75,114.22,82.3,13.47,41.47,32.92,231.24,115.07,331.23,21.33,119.89,10.61,1.59,0.15,2.69,1.69,9.48,378.43,2.37,0.79,23.34,10.37,4.24,26.97,54.73,6.24,22.95,4.45,0.93,0.57,3.81,3.28,0.66,1.93,0.29,1.79,0.27
"346-U1429A-5H-2,10-12",39.29,66.1,48.91,13.9,0.34,5.1,0.11,8.74,2.61,2.67,2.65,0.12,6.68,0.27,14.62,67.33,136.01,0.86,27.52,43.97,19,10.78,205.61,25.35,152.36,1.2,0.47,0.02,0.35,0.16,0.82,43.71,0.27,0.07,2.55,1.01,0.37,2.33,5.83,0.61,2.3,0.46,0.12,0.08,0.53,0.46,0.1,0.24,0.03,0.25,0.03
"346-U1429B-5H-5,127-128",41.34,70.89,45.59,12.37,0.55,4.5,0.08,9.62,2.35,2.78,2.56,0.1,57.2,2.02,11.47,92.63,68.55,12.34,30.39,31.82,106,102.03,379.71,20.51,118.65,10.18,2.83,0.12,2.23,1.06,7.75,312.73,2.18,0.71,17.75,9.15,3.02,23.51,47.99,5.39,20.03,3.86,0.81,0.53,3.47,3.06,0.62,1.78,0.26,1.71,0.26
"346-U1429B-6H-3,7-8",47.08,82.73,47.07,12.03,0.53,3.81,0.07,10.55,1.95,3.04,2.47,0.1,49.85,1.68,12.57,98.34,60.41,11.4,42.38,30.96,88.9,119.26,413.67,23.76,140.5,10.04,3.47,0.09,2.08,1.05,6.2,393.2,2.71,0.69,18.06,8.94,3.8,22.36,49.86,5.57,21.6,4.35,0.92,0.6,3.86,3.45,0.7,2.01,0.31,1.97,0.3
"346-U1429C-8H-1,7-8",53.18,89.96,46.71,11.07,0.48,3.38,0.06,10.9,1.57,2.21,2.14,0.1,52.69,1.64,8.73,59.59,66.29,9.78,33.94,19.25,192.49,89.19,427.81,21.44,102.82,8.47,4.18,0.12,1.81,1.13,6.46,484.37,2.44,0.64,16.7,8.13,3.95,19.93,44.65,4.75,18.8,3.69,0.77,0.55,3.49,3.31,0.67,1.98,0.3,1.99,0.31
"346-U1429C-8H-2,3-4",54.64,90.35,49.2,11.71,0.48,3.57,0.07,11.54,1.76,2.89,2.29,0.11,50.46,1.64,9.75,56.68,35.7,9.85,30.38,28.5,92.71,83.76,445.75,22.1,120.81,8.73,3.48,0.12,1.98,1.16,6.54,381.25,2.56,0.66,17.39,8.06,3.84,20.93,42.1,4.87,18.49,3.82,0.8,0.57,3.58,3.46,0.72,2.05,0.32,2.12,0.32
"346-U1429A-6H-1,145-150",49.76,93.82,43.93,10.35,0.45,3.25,0.07,13.49,1.67,3.01,1.89,0.1,45.36,1.64,9.15,78.01,49.94,9.45,31.35,25.17,85.98,80.6,509.31,20.36,103.13,7.88,3.99,0.16,1.87,0.88,6.35,356.91,2.27,0.58,16.01,7.53,4.22,20.07,38.54,4.59,17.56,3.62,0.77,0.53,3.4,3.15,0.65,1.96,0.29,1.87,0.29
"346-U1429A-6H-2,9-11",49.9,97.27,52.03,11.4,0.47,3.19,0.09,9.8,1.4,3.62,2.43,0.1,33.6,1.64,13.02,74.81,32.06,7.66,30.27,23.31,80,107.66,386.69,31.45,155.76,8.47,3.33,0.12,2.17,0.71,4.49,402.09,3.45,0.57,17.6,7.9,3.93,20.33,47.51,5.39,21.8,4.84,1.01,0.75,4.67,4.57,0.97,2.82,0.45,2.81,0.44
"346-U1429A-7H-2,9-11",57.4,103.8,37.08,10.56,0.47,3.62,0.08,19.44,1.82,2.42,1.83,0.13,54.78,1.61,8.5,62.57,32.01,12.07,43.84,21.81,249.09,85.19,678.43,20.11,95.72,9.76,5.03,0.25,1.94,1.03,6.4,395.92,1.94,0.56,17.59,7.91,4.11,21.87,43.46,4.85,19.18,3.94,0.86,0.56,3.57,3.21,0.66,1.84,0.28,1.81,0.26
"346-U1429A-7H-4,97-98",61.29,111.84,40.59,10.94,0.49,3.75,0.07,15.7,2,2.61,1.94,0.13,52.27,1.82,10.4,95.69,59.91,10.87,39.93,29.59,90.93,83.05,599.02,22.11,105.77,8.75,5.73,0.14,1.92,0.92,6.59,419.99,1.65,0.61,15.43,8.03,4.24,23.25,43.55,5.15,19.28,3.71,0.8,0.49,3.33,2.81,0.57,1.7,0.24,1.54,0.23
"346-U1429A-7H-6,97-98",64.29,120.85,34.95,10.2,0.45,3.52,0.08,19.35,1.95,2.4,1.81,0.13,48.99,1.77,9.57,95.24,61.96,11.47,42.37,29.95,105.18,83.74,738.33,18.91,84.48,8.21,4.41,0.21,1.89,1.02,7.21,363.81,1.48,0.57,18.08,7.44,4.59,21.8,40.22,4.8,18.06,3.54,0.78,0.47,3.19,2.72,0.55,1.63,0.24,1.48,0.22
"346-U1429A-8H-1,141-146",67.31,132.2,51.32,12.41,0.54,4.33,0.08,10.09,2.14,2.44,2.26,0.11,57.71,1.86,9.88,69.04,74.17,11.5,42.57,19.17,193.43,89.96,389.47,19.07,100.24,9.28,4.94,0.14,1.9,1.02,7.01,461.44,2.22,0.66,16.9,8.71,5.36,22.15,50.57,5.31,20.79,4,0.89,0.56,3.64,3.26,0.64,1.85,0.27,1.76,0.27
"346-U1429A-8H-2,10-12",67.42,132.39,48.83,11.78,0.53,4.08,0.08,10.2,2.17,3.3,2.21,0.11,58.03,1.74,10.87,73.27,31.56,12.02,35.52,27.31,220.67,87.37,401.74,21.02,110.4,10.55,8.58,0.13,1.93,0.99,8.09,338.24,2.15,0.62,16.94,8.3,5.26,20.73,44.57,4.84,18.71,3.87,0.84,0.54,3.43,3.13,0.63,1.75,0.27,1.72,0.27
"346-U1429B-8H-6,67-68",70.02,136.89,48.8,11.25,0.51,4.15,0.09,8.41,2.2,2.86,2.27,0.11,54.12,1.81,12.35,84.22,50.76,11.75,32.5,29.38,89.16,123.87,338.45,19.91,110.25,9.56,4.72,0.1,2.08,1.04,6.27,386.19,2.17,0.65,18.1,8.7,4.84,20.7,47.78,5.1,19.39,3.87,0.82,0.53,3.45,3.04,0.61,1.74,0.26,1.64,0.25
"346-U1429A-9H-2,9-11",78.69,152.23,48.46,12.3,0.53,4.58,0.14,9.81,2.63,2.74,2.48,0.12,60.63,2.01,11,88.43,64.43,13.3,39.62,24.1,207.87,97.68,383.62,19.87,105.45,11.16,3,0.1,2.25,1.2,8.98,358.6,2.04,0.64,18.52,9.19,2.82,24.37,50.6,5.4,20.48,4.14,0.86,0.56,3.51,3.17,0.64,1.75,0.27,1.73,0.27
"346-U1429A-9H-4,66-67",81.18,155.63,42.61,11.93,0.52,4.04,0.08,11.61,2.24,3.17,2.24,0.11,57.23,1.81,11.94,103.97,66.6,12.57,41.16,32.32,96.78,120.33,374.79,22.27,111.13,9.79,1.77,0.13,2.27,1.24,7.02,342.52,2.45,0.66,20.74,8.99,3.54,22.18,51.05,5.53,21.09,4.33,0.91,0.62,3.96,3.63,0.73,2.09,0.32,2.03,0.31
"346-U1429A-9H-6,37-38",83.89,160.7,49.35,12.46,0.55,4.56,0.16,7.74,2.38,2.59,2.51,0.1,59.62,1.94,13.33,100.5,67.56,13.52,37.76,33.94,106.67,137.56,330.67,21.24,116.17,10.88,1.41,0.19,2.38,1.29,7.3,388.67,2.19,0.72,21.37,9.64,3.86,26.19,55.28,5.91,22.53,4.4,0.93,0.59,3.83,3.34,0.67,1.89,0.28,1.77,0.27
"346-U1429B-10H-5,7-8",86.57,165.72,45.59,11.83,0.54,4.47,0.13,9.58,2.27,2.57,2.35,0.11,63.27,2.04,12.56,95.8,74.67,13.85,48.07,37.13,104.14,147.06,399.82,20.75,105.31,10.83,2.24,0.17,2.98,1.42,7.13,420.66,2.23,0.73,21.64,9.69,4.91,23.24,52.99,5.64,21.4,4.26,0.89,0.58,3.71,3.29,0.67,1.9,0.29,1.82,0.28
"346-U1429A-10H-1,145-150",87.65,167.47,49.92,13.28,0.57,4.87,0.12,12.13,2.5,2.12,2.53,0.12,61.28,2.15,10.74,86.25,22.99,17.81,46.77,21.72,210.12,105.44,436.94,19.64,106.18,11.62,3.48,0.11,2.3,1.31,9.57,403.33,2.21,0.67,20.13,9.75,3.46,28.11,53.49,5.67,21.49,4.34,0.9,0.59,3.72,3.34,0.66,1.84,0.28,1.83,0.29
"346-U1429A-10H-2,12-14",87.82,167.82,47.74,12.67,0.55,4.77,0.12,10.63,2.42,2.55,2.47,0.12,63.16,2.04,12.09,91.18,78.84,13.86,48.2,32.26,237.47,100.8,412.66,21.08,111.97,11.35,4.78,0.12,2.3,1.37,8.99,371.01,2.12,0.66,20.09,9.49,3.95,24.52,50.8,5.34,20.52,4.09,0.87,0.57,3.53,3.17,0.64,1.77,0.28,1.78,0.28
"346-U1429A-10H-3,7-8",89.28,170.81,45.66,12.76,0.57,4.75,0.13,9.64,2.42,2.48,2.65,0.11,63.93,2.2,14.06,103.9,76.78,14.69,44.52,35.78,99.67,154.79,387.71,22.59,113.8,11.55,1.27,0.11,2.64,1.33,7.52,443.34,2.33,0.79,21.53,10.62,3.97,25.18,56.61,6.15,23.35,4.63,0.95,0.62,4.01,3.52,0.71,2.03,0.31,1.95,0.29
"346-U1429A-10H-4,127-128",91.98,175.48,45.87,11.59,0.51,3.76,0.08,11.37,2.05,2.83,2.14,0.1,52.42,1.68,12.41,80.81,48.08,10.89,38.52,31.97,88.21,119.08,442.59,22.66,112.65,9.58,5.09,0.12,2.1,0.98,6.03,397.4,2.54,0.64,16.66,8.31,5.3,21.38,48.03,5.32,20.62,4.24,0.91,0.61,3.87,3.54,0.73,2.1,0.32,2.05,0.32
"346-U1429B-11H-3,97-98",95.11,182.47,48.16,13.12,0.58,4.67,0.09,7.87,2.3,2.64,2.56,0.09,63.83,1.94,12.55,108.25,74.3,12.78,40.16,34.5,91.38,130.39,329.01,22.05,121.55,11.03,1.66,0.1,2.4,1.09,7.07,450.44,2.34,0.74,18.86,9.31,3.94,23,51.35,5.59,21.23,4.28,0.91,0.58,3.75,3.39,0.68,1.94,0.29,1.85,0.28
"346-U1429A-11H-2,12-14",97.75,187.25,49.18,13.07,0.56,4.71,0.11,9.39,2.39,2.64,2.5,0.12,68.51,2.56,12.4,90.5,79.2,13.28,41.27,33.41,119.27,112.1,363.75,20.25,116.71,11.71,1.09,0.16,2.47,1.35,9.08,412.46,2.29,0.8,19.7,9.77,3.48,25.25,51.55,5.65,21.25,4.23,0.91,0.57,3.64,3.26,0.65,1.82,0.28,1.82,0.27
"346-U1429B-11H-5,67-68",97.82,187.41,48.12,12.82,0.59,4.48,0.09,8.73,2.23,2.6,2.2,0.12,68.58,2.25,12.04,109.72,77.53,12.44,41.5,31.27,121.21,107.42,369.53,20.54,116.78,10.3,1.58,0.14,2.25,1.02,8.28,409.02,2.18,0.76,18.63,9.68,3.49,25.44,50.29,5.62,20.89,4.02,0.85,0.52,3.46,2.99,0.6,1.75,0.25,1.64,0.25
"346-U1429A-12H-1,145-150",107.8,210.97,64.86,12.34,0.39,2.52,0.08,3.68,0.89,3.64,2.66,0.08,21.04,1.33,8.59,23.21,12.71,3.73,8.2,4.98,47.5,67.17,190.15,33.47,154.57,5.79,2.15,0.08,1.7,0.76,3.67,374.88,4.26,0.45,18.61,6.74,2.36,17.99,39.92,4.86,19.81,4.72,1.02,0.83,4.97,5.25,1.11,3.29,0.54,3.51,0.54
"346-U1429A-12H-2,122-123",109.07,213.78,69.49,12.09,0.34,1.96,0.07,2.11,0.63,4.73,2.54,0.07,15.55,1.31,9.54,48.2,5.62,1.98,6.1,8.06,46.54,64.85,141,36.35,173.24,5.06,4.99,0.08,1.51,0.64,2.75,366.9,4.58,0.38,17.18,6.26,2.6,16.27,37.53,4.6,19.11,4.63,1,0.85,5.02,5.42,1.17,3.75,0.58,3.79,0.59
"346-U1429A-12H-5,2-4",112.35,222.53,47.18,12.21,0.55,4.24,0.09,10.63,2.15,2.65,2.22,0.1,60.89,1.8,10.85,81.22,64.32,12.99,43.23,24.89,222.38,90.07,409.44,20.23,110.29,10.87,2.66,0.08,2.02,1.05,9.06,348.21,2.08,0.64,17.84,8.54,2.73,21.64,45.8,4.95,18.86,3.82,0.83,0.53,3.35,3.11,0.63,1.73,0.27,1.74,0.27
"346-U1429A-13H-3,97-98",120.31,238.19,49.38,12.07,0.44,3.64,0.1,9.17,1.81,2.8,2.45,0.09,53.4,1.65,11.73,85.43,48.35,10.53,34.2,29.97,99.23,115.1,362.22,20.42,109.82,8.72,2.32,0.1,1.94,0.99,5.7,377.04,2.14,0.61,19.43,8.53,3.76,20.55,46.77,4.94,18.4,3.66,0.76,0.51,3.26,2.93,0.6,1.73,0.27,1.71,0.27
"346-U1429A-15H-1,77-78",126.08,245.45,34.13,8.82,0.35,3.19,0.13,15.53,8.07,1.74,1.41,0.16,39.34,1.15,9.76,83.93,46.19,8.12,34.08,20.95,63.31,77.4,389.65,14.86,101.37,5.75,1.14,0.05,1.2,0.47,3.41,382.24,1.31,0.41,11.26,5.25,1.9,13.84,32.84,3.27,12.23,2.43,0.56,0.35,2.24,1.98,0.4,1.14,0.17,1.08,0.17
"346-U1429A-15H-1,145-150",127.2,242.13,50.24,13.74,0.63,5.33,0.16,6.81,2.42,1.9,2.63,0.11,71.36,2.44,13.07,99.28,44.3,14.19,48.08,29.93,221.47,122.64,304.02,22.56,119.79,13.7,3.08,0.1,2.59,1.23,9.45,430.33,2.41,0.77,23.35,11.15,3.38,29.99,59.03,6.27,24.2,4.77,0.99,0.64,4.07,3.61,0.71,1.97,0.3,1.94,0.31
"346-U1429A-15H-2,8-10",127.33,242.45,50.96,14.04,0.6,4.79,0.09,7.53,2.39,2.73,2.5,0.11,73.59,2.17,12.65,85.09,82.77,13.02,42.29,26.99,216.31,103.04,322.21,19.71,122.5,10.48,1.64,0.11,2.17,1.24,8.65,428.42,2.25,0.74,19.95,9.82,3.29,30.49,55.86,5.83,22.69,4.31,0.94,0.58,3.78,3.31,0.65,1.85,0.28,1.79,0.28
"346-U1429A-16H-2,8-10",137.22,265.94,46.19,12.34,0.52,4.45,0.17,10.36,2.98,2.45,2.34,0.12,63.57,2,11.28,88.46,88.94,11.96,42.39,22.01,108.89,102.14,408.67,19.18,103.35,10.45,1.95,0.22,2.24,1.17,8.38,385.32,2.09,0.7,19.17,9.18,3.37,23.43,48.31,5.24,19.81,3.99,0.85,0.54,3.47,3.12,0.62,1.73,0.27,1.71,0.26
"346-U1429A-17H-1,8-10",148.52,291.66,40.34,12.24,0.52,4.2,0.1,17.94,1.92,2.25,2.02,0.11,60.18,1.67,10.97,72.4,72.81,11.05,36.22,18.21,185.09,86.12,641.71,19.13,101.33,8.66,1.14,0.09,1.85,0.76,6.92,381.19,1.94,0.62,16.39,8.06,2.6,19.71,44.3,4.64,18.38,3.54,0.79,0.5,3.2,2.94,0.59,1.69,0.25,1.61,0.25
"346-U1429A-18H-1,123-128",158.65,321.79,47.28,12.4,0.53,4.43,0.1,12.84,2,1.88,2.33,0.1,66.22,2.09,10.42,73,44.08,14.18,40.75,26.24,258.52,111.14,474.41,20.52,113.87,12.64,4.28,0.14,2.44,0.98,8.1,396.83,2.31,0.76,20.8,10.32,3.22,26.27,55.56,5.82,22.79,4.6,1,0.63,4.04,3.55,0.71,1.95,0.3,1.92,0.26
"346-U1429A-18H-2,7-9",158.99,322.8,33.78,9.95,0.41,3.5,0.09,23,1.65,2.06,1.88,0.12,44.78,1.49,9.88,66.45,42.66,11.6,38.48,23.08,90.84,75.41,808.57,17.87,89.82,7.52,0.76,0.08,1.77,0.98,6.42,310.2,1.55,0.89,14.65,6.82,2.57,18.65,36.6,4.23,15.85,3.16,0.69,0.44,2.85,2.56,0.53,1.45,0.23,1.47,0.22
"346-U1429A-20H-2,8-10",169.81,352.92,49.58,14.47,0.64,6.04,0.16,7.61,2.62,2.22,2.81,0.12,69.03,2.56,14.08,109.24,84.5,16.7,53.32,28.77,219.14,122.69,329.86,22.43,140.41,13.77,2.34,0.1,2.71,1.2,10.5,398.86,2.39,0.78,21.94,11.5,2.99,28.53,60.51,6.39,24.36,4.81,1.01,0.65,4.05,3.58,0.72,1.98,0.3,1.94,0.3
"346-U1429A-21H-2,7-9",179.81,379.24,31.87,9.4,0.42,3.16,0.09,24.82,1.61,2.03,1.67,0.12,42.39,1.54,7.12,60.17,6.17,10.22,34.33,14.81,177.33,68.53,885.31,18,76.84,8.5,2.63,0.09,1.67,0.87,6.73,279.96,1.58,0.48,13.8,7.02,2.48,19.18,38.64,4.16,16.18,3.22,0.69,0.45,2.88,2.59,0.53,1.44,0.22,1.45,0.22
"346-U1429A-22H-1,144-149",188.8,402.89,47.68,13,0.58,4.89,0.09,11.09,2.3,1.73,2.39,0.14,59.78,2.23,12.31,91.68,48.76,12.86,44.93,23.88,205.72,103.45,410.26,20.71,116.56,12.07,3.68,0.11,2.37,1.14,8.85,347.79,2.14,0.71,19.89,10.1,4.21,25.41,54.08,5.65,21.42,4.26,0.9,0.58,3.63,3.22,0.64,1.77,0.27,1.75,0.27
"346-U1429A-22H-2,6-8",188.9,403.16,45.89,12.51,0.56,4.67,0.08,9.37,2.28,2.36,2.38,0.13,60.09,2.09,12.5,93.35,80.7,12.57,43.44,26.82,204.18,107.83,373.16,21.47,125.42,11.93,3.47,0.11,2.34,1.07,8.46,351.1,2.11,0.68,19.87,9.89,3.72,27.07,55.62,5.63,21.49,4.23,0.9,0.57,3.64,3.22,0.64,1.76,0.27,1.73,0.27
