Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1429A-1H-1,7-8.5",0.25,0.6,39.63,10.51,0.48,3.47,0.1,13.71,2.07,3.84,1.8,0.12,46.94,1.85,9.76,92.84,61.53,11.15,37.62,29.04,105.42,86.36,544.74,18.32,92.35,8,0.88,0.18,1.89,1.19,7.12,420.33,1.64,0.58,18.86,7.44,3.69,21.22,39.79,4.69,17.5,3.43,0.74,0.46,3.07,2.66,0.54,1.6,0.23,1.44,0.23
"346-U1429A-1H-1,67-68",0.85,2.06,42.56,11.18,0.53,3.82,0.09,12.97,2.08,3.43,1.94,0.12,47.65,1.9,10.35,96.56,63.72,11.2,42.06,29.78,129.19,91.25,526.77,19.37,106.86,8.15,2.08,0.19,2.01,1.38,7.03,383.33,1.87,0.55,17.05,7.08,3.78,20.7,40.17,4.75,17.54,3.48,0.75,0.47,3.1,2.76,0.57,1.74,0.26,1.63,0.25
"346-U1429A-1H-2,7-8",1.75,4.28,46.97,11.51,0.51,3.62,0.08,11.35,1.89,3.68,2.13,0.11,45.63,1.78,10.51,87.1,51.1,9.45,34.71,24.96,97.02,87.72,470.79,22.3,115.46,7.87,3.36,0.18,1.95,1.01,6.63,393.9,2.56,0.57,17.46,8,3.77,21.85,43.69,5.13,19.72,4.14,0.88,0.58,3.79,3.47,0.72,2.13,0.32,1.98,0.31
"346-U1429A-1H-2,9-11",1.76,4.32,53.39,12.51,0.52,3.78,0.09,10.45,1.81,3.83,2.44,0.13,38.76,1.44,13.02,78.78,61.64,8.21,35.05,24.93,225.52,79.38,426.09,26.24,138.23,8.19,4.77,0.29,1.88,0.94,5.29,385.48,2.91,0.49,16.53,7.37,3.08,19.18,40.12,4.47,18.24,3.98,0.86,0.6,3.73,3.63,0.76,2.19,0.35,2.25,0.36
"346-U1429A-1H-3,37-38",3.55,8.33,52.14,12.62,0.55,4.66,0.14,6.63,2.14,3.01,2.14,0.1,57.15,1.83,12.15,99.12,68,12.55,41.81,33.65,106.71,93.49,432.07,21.93,116.69,9.33,4.17,0.2,2.07,1.17,7.58,386.99,1.85,0.64,17.57,8.31,4.07,23.09,45.48,5.19,19.28,3.81,0.82,0.5,3.28,2.81,0.58,1.68,0.24,1.55,0.24
"346-U1429B-2H-3,97-98",7.18,14.42,47.25,12.05,0.55,4.62,0.09,7.33,2.51,3.17,2.2,0.1,63.27,2.12,11.17,98.84,75.91,12.69,46.22,27.9,99.3,108.65,330.83,17.68,102.69,9.64,2.86,0.15,2.25,0.88,8.88,364.8,2.09,0.77,18.69,9.74,3.13,24.99,50.73,5.65,20.94,4,0.82,0.51,3.44,2.95,0.58,1.66,0.24,1.53,0.24
"346-U1429A-2H-1,145-150",8.24,16.06,52.85,14.17,0.59,5.55,0.12,7.11,2.79,2.12,2.8,0.11,65.96,2.46,12.13,82.3,88.25,14.21,47.68,24.09,213.43,115.76,297.26,20.15,113.62,11.13,1.21,0.09,2.43,1.36,9.8,422.92,2.26,0.8,20.6,10.98,2.76,31.13,58.97,6.19,23.74,4.47,0.94,0.6,3.9,3.36,0.66,1.88,0.28,1.83,0.28
"346-U1429A-2H-2,8-10",8.46,16.4,50.2,13.34,0.57,5.21,0.11,6.59,2.79,2.92,2.62,0.11,64.29,2.25,12.08,91.41,57.45,14.8,48,49.69,274.08,114.65,292.44,19.59,105.23,12.61,2.87,0.08,2.44,1.31,10.61,349.23,2.22,0.71,20.49,10.71,2.72,26.24,55.7,6.02,22.57,4.45,0.91,0.59,3.72,3.29,0.65,1.79,0.28,1.77,0.28
"346-U1429A-2H-2,127-128",9.66,18.36,47.87,13.17,0.56,5.21,0.11,6.15,2.85,2.94,2.49,0.1,63.94,2.49,12.23,104.65,78.01,14.12,44.87,28.86,99.56,122.05,271.08,19.61,109.75,10.93,2.38,0.12,2.52,1.06,9.15,358.75,2.2,0.76,20.25,10.69,3.44,27.33,56.83,6.13,22.55,4.38,0.89,0.58,3.73,3.2,0.64,1.87,0.27,1.73,0.26
"346-U1429A-2H-3,97-98",10.86,20.16,46.84,12.85,0.57,5.1,0.11,6.35,2.83,2.84,2.68,0.1,63.68,2.23,13.2,110.58,89.19,14.97,41.32,33.62,100.12,153.22,296.03,21.34,114.95,11.71,2.01,0.09,2.76,1.07,8.71,376.5,2.31,0.78,21.4,11.11,3.78,32.67,57.63,6.23,23.5,4.61,0.93,0.6,3.86,3.39,0.66,1.91,0.29,1.79,0.28
"346-U1429A-2H-5,127-128",14.16,25.08,46.89,12.2,0.51,4.75,0.14,7.68,2.64,2.91,2.57,0.11,54.23,1.91,13.91,108.63,82.29,12.45,51.38,31.95,90.85,132.67,330.35,21.11,110.42,9.89,2.38,0.11,2.27,1.6,7.03,353.62,1.96,0.67,17.74,8.87,3.85,21.44,48.62,5.14,19.29,3.77,0.77,0.5,3.28,2.87,0.57,1.64,0.25,1.56,0.24
