Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1428A-1H-1,145-150",1.45,3.55,44.03,11.36,0.47,3.71,0.09,13.82,1.81,2.2,2.19,0.12,44.76,1.62,9.93,69.27,39.05,10.5,38.98,23.52,211.18,81.35,524.9,20.37,106.15,7.86,2.49,0.14,1.9,1.37,6.14,387.96,2.12,0.59,17.01,7.57,4.29,20.12,40.89,4.71,17.87,3.71,0.81,0.53,3.41,3.14,0.64,1.82,0.28,1.84,0.28
"346-U1428A-1H-5,9-11",5.7,12.21,48.29,12.55,0.53,4.61,0.09,8.23,2.43,3.17,2.39,0.11,58.98,1.85,12.26,82.92,67.43,11.72,41.28,31.15,104.65,96.86,351.05,19.16,107.88,9.44,2.33,0.11,2.18,1.17,7.81,376.95,2.12,0.7,17.86,8.9,3.39,22.83,47.75,5.22,19.39,3.83,0.82,0.52,3.36,2.96,0.59,1.63,0.25,1.65,0.25
"346-U1428A-2H-1,145-150",8.24,16.06,49.86,13.78,0.58,5.4,0.11,6.61,2.84,2.06,2.74,0.11,68.78,2.38,12.15,86.05,75.43,14.3,45.47,24.1,165.89,119.62,298.32,20.19,113.95,11.37,1.23,0.11,2.52,1.38,9.68,402,2.3,0.81,21.15,11.02,3.06,29.26,58.37,6.23,23.42,4.52,0.94,0.6,3.9,3.41,0.67,1.89,0.29,1.86,0.28
"346-U1428A-2H-5,6-8",12.89,23.19,48.84,12.81,0.53,4.65,0.1,8.55,2.67,3.17,2.59,0.12,59.27,1.86,12.6,88.88,71.51,11.97,40.44,31.06,275.95,101.85,350.68,20.45,112.5,10.81,3.31,0.25,2.18,1.36,7.94,368.73,2.12,0.64,19.02,9.25,3.37,23.61,47.87,5.07,19.77,3.95,0.84,0.54,3.47,3.08,0.62,1.69,0.27,1.68,0.26
"346-U1428A-3H-1,145-150",18.27,31.3,48.84,14.05,0.58,5.08,0.09,8.86,2.54,2.21,2.66,0.12,69.79,2.05,13.31,80.31,29.86,13.03,41.32,26.99,103.02,110.19,354.63,20.69,121.85,10.86,2.09,0.12,2.27,1.51,8.5,401.35,2.45,0.8,20.24,10.08,4.8,25.16,52.92,5.8,21.65,4.29,0.93,0.58,3.74,3.36,0.67,1.87,0.29,1.86,0.28
"346-U1428A-3H-2,6-8",18.38,31.47,46.44,13.37,0.56,4.75,0.09,8.5,2.53,2.95,2.49,0.12,70.51,1.98,13.15,95.48,85.83,13.3,44.07,32.63,127.55,108.83,367.51,21.12,118.81,10.95,2.03,0.11,2.45,1.39,9.3,392.78,2.43,0.81,20.14,10.29,4.8,26.17,54.43,5.98,22.25,4.41,0.95,0.6,3.84,3.44,0.69,1.92,0.3,1.92,0.28
"346-U1428A-4H-2,8-10",28.73,45.32,46.54,13.49,0.56,4.76,0.09,8.35,2.41,2.81,2.42,0.11,68.14,1.94,11.83,77.48,75.52,11.99,45.47,25.01,261.14,103.37,342.02,18.48,121.21,11.38,3.75,0.33,2.23,1.26,8.17,385.36,2.32,0.69,18.52,9.49,4.15,23.63,49.08,5.15,20.05,3.97,0.87,0.53,3.43,3.03,0.61,1.67,0.26,1.68,0.27
"346-U1428A-5H-1,145-150",38.32,63.82,43.17,11.59,0.48,3.62,0.08,16.31,1.71,2.29,2.21,0.12,50.52,1.56,9.67,64.45,23.33,10.61,35.2,23.92,83.71,80.27,602.59,21,114.74,8.66,1.41,0.12,1.65,1.03,5.7,411.1,2.36,0.61,18.01,8.03,3.15,20.6,41.86,4.84,18.48,3.77,0.84,0.53,3.44,3.19,0.64,1.83,0.28,1.84,0.28
"346-U1428A-5H-2,7-9",38.44,64.1,43.6,11.64,0.48,3.52,0.08,14.65,1.76,2.97,2.19,0.12,49.68,1.59,11.28,76.09,58.99,10.16,34.25,32.16,103.14,80.57,545.7,22.02,124.83,8.63,1.44,0.12,1.81,1.13,6.44,413.05,2.47,0.64,17.93,7.96,3.1,20.89,42.12,4.87,18.59,3.81,0.83,0.54,3.42,3.17,0.65,1.82,0.28,1.85,0.28
"346-U1428A-6H-2,7-9",47.91,84.46,33.78,10.07,0.43,3.45,0.07,22,1.93,2.56,1.91,0.13,45.49,1.6,9.94,77.49,34.89,11.07,39.48,29.97,193.21,81.22,737.46,22.19,90.74,8.45,5.19,0.13,1.73,1.13,6.79,511.83,1.48,0.47,16.59,7.01,5.32,20.43,40.53,4.49,17.55,3.49,0.77,0.48,3.1,2.74,0.57,1.56,0.23,1.52,0.24
