depth_cmJPC56,depth_cmGGC55,age_calkaBP,Al%-s,Fe%-s,Mg%-s,Ca%-s,Na%-s,K%-s,P%-s,Ti%-s,Mn ppm,Be ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,V ppm,Zn ppm,As ppm,Sc ppm,Sr ppm,Ba ppm,Y ppm,Zr ppm,Mo ppm,Cd ppm,La ppm,Pb ppm,Li ppm,carb%-s,toc%
1240,1460,14.56,4.03,1.56,1.29,0.88,3.2,1.26,0.09,0.17,161,0.9,43,5,31,29,88,81,6,6.1,134,340,11,53,8,5,16,18,25,0,2.63
1249,1469,14.6,4.6,1.85,1.42,1.29,3.02,1.4,0.07,0.19,194,1,43,5,31,29,92,82,7,6.9,153,374,12,58,7,5,17,20,29,1.42,2.15
1260,1480,14.66,5.08,2.12,1.56,1.88,3.39,1.47,0.08,0.22,216,1,50,5,36,33,102,91,7,7.6,195,435,14,62,9,5,19,18,30,2.33,2.41
1270,1490,14.72,4.54,1.92,1.4,1.58,3.18,1.4,0.09,0.19,204,1,50,5,32,29,92,92,8,6.9,166,418,13,56,9,3,18,19,28,1.75,2.3
1280,1500,14.77,4.33,1.76,1.35,0.89,3.25,1.34,0.09,0.18,176,1,48,5,32,30,94,88,7,6.5,137,347,12,57,9,5,17,17,27,0.25,2.42
1290,1510,14.82,3.96,1.68,1.28,1.12,3.17,1.25,0.08,0.16,164,0.9,45,5,30,32,89,79,8,6,140,349,11,49,8,4,15,15,25,0.83,2.56
1299,1519,14.87,3.83,1.66,1.34,4.15,3.08,1.2,0.1,0.16,200,1,46,5,28,28,84,86,8,7.4,251,403,14,50,7,4,16,15,25,11.58,1.85
1310,1530,14.93,3.99,1.64,1.31,1.24,3.07,1.27,0.06,0.17,172,0.9,44,5,29,28,76,74,6,6.1,132,310,11,50,8,2,16,15,26,1.75,2.37
1320,1540,14.98,4.59,1.91,1.4,0.94,3.06,1.34,0.07,0.2,180,1,47,5,33,33,99,96,7,7.1,147,372,12,58,9,2,17,17,28,0.25,2.5
1340,1560,15.08,4.45,1.75,1.35,1.03,3.05,1.39,0.08,0.18,190,1,50,5,33,31,87,82,6,7.1,138,352,14,54,7,3,19,17,28,0.58,2.67
1349,1569,15.12,4.85,1.95,1.45,2.01,3.12,1.47,0.08,0.2,217,1,46,6,33,34,87,87,8,7.5,189,399,14,60,7,2,19,20,30,2.92,2.37
1361,1581,15.18,4.06,1.69,1.27,1.6,2.89,1.26,0.07,0.18,178,0.9,44,5,29,29,86,80,7,6.2,155,342,12,51,7,1,16,15,26,1.58,2.38
1370,1590,15.23,4.19,1.76,1.37,4.31,3.01,1.3,0.07,0.18,209,0.9,43,5,28,30,76,78,5,6.8,290,398,12,52,6,2,16,16,26,10.17,1.86
1380,1600,15.28,3.91,1.71,1.33,6.05,2.85,1.25,0.09,0.16,214,0.9,40,5,26,26,79,71,7,6.4,388,460,12,48,6,2,15,14,26,13.58,2.05
1390,1610,15.33,4.21,1.73,1.27,4.45,2.59,1.3,0.07,0.18,199,0.9,42,5,27,27,78,75,6,6.6,289,394,13,54,6,2,17,15,27,10.33,2.22
1399,1619,15.37,3.6,1.57,1.33,4.39,3.55,1.19,0.07,0.15,180,0.8,39,5,29,30,69,76,6,5.7,291,318,12,43,7,10,15,14,23,10.25,2.48
1410,1630,15.42,5.36,2.19,1.46,5.65,2.6,1.41,0.1,0.22,249,1.1,47,6,39,34,86,88,9,8.1,389,537,15,64,5,3,21,18,34,12,2.39
1420,1640,15.47,5.65,2.3,1.54,3.45,2.91,1.71,0.1,0.23,244,1.2,47,7,38,38,84,95,9,8.3,296,536,15,66,6,3,22,21,35,6.08,2.81
1430,1650,15.52,4.31,1.73,1.31,4.65,2.88,1.39,0.07,0.18,195,1,42,5,29,28,68,73,5,6.5,317,457,12,50,4,4,18,14,29,10.17,2.25
1440,1660,15.56,4.71,1.9,1.37,3.12,2.86,1.5,0.13,0.19,202,1.1,43,5,34,31,74,82,6,8,259,449,15,57,5,3,19,16,31,6,2.4
1449,1669,15.6,4.22,1.75,1.3,3.32,2.87,1.38,0.07,0.17,187,1,41,5,31,28,72,74,5,6.3,246,373,12,50,5,3,17,15,28,7.17,2.36
1460,1680,15.66,4.95,1.92,1.31,5.04,2.45,1.55,0.08,0.2,216,1.1,42,5,35,33,78,81,8,7.3,340,457,14,58,4,4,20,18,33,11.25,2.46
1470,1690,15.7,5,2,1.41,3.87,2.88,1.58,0.08,0.2,213,1.1,43,5,30,30,79,83,7,7.2,287,455,13,59,5,3,20,17,33,7.92,2.12
1480,1700,15.75,5.05,2.06,1.39,4.47,2.58,1.6,0.08,0.2,220,1.1,48,5,31,30,85,85,10,7.5,307,432,14,59,6,1,20,17,33,8.58,2.15
1490,1710,15.79,4.68,1.96,1.39,6.08,2.93,1.49,0.09,0.18,218,1.1,45,5,29,30,77,85,8,7,406,420,14,54,6,2,19,18,31,12.5,2.31
1499,1719,15.83,4.23,1.93,1.33,2.99,3.02,1.35,0.16,0.17,191,1,44,5,31,31,79,83,8,6.4,258,378,12,50,9,6,17,16,27,6.75,3.2
1510,1730,15.88,5.1,1.98,1.3,2.45,2.54,1.6,0.11,0.21,189,1.1,48,6,37,33,91,88,9,7.2,211,439,14,60,7,4,19,19,32,4.33,3.86
1521,1741,15.93,5.1,2.09,1.43,4.94,2.61,1.58,0.09,0.2,216,1.1,50,6,33,31,93,83,7,7.7,323,446,14,60,5,3,20,17,34,11.17,2.66
1531,1751,15.97,5.42,2.18,1.39,5.74,2.37,1.69,0.09,0.22,235,1.2,51,6,34,32,90,86,9,7.9,379,499,15,64,5,4,22,18,35,12.58,2.34
1540,1760,16.01,5.79,2.37,1.46,5.26,2.36,1.78,0.1,0.23,242,1.3,53,7,37,36,94,97,12,8.6,365,521,16,68,7,4,23,20,37,10.08,2.87
1549,1769,16.04,5.91,2.49,1.42,5.12,2.13,1.81,0.1,0.25,261,1.3,52,7,33,34,91,98,14,8.7,374,527,17,70,8,4,24,18,37,7.92,2.93
1560,1780,16.09,5.75,2.57,1.41,4.05,2.26,1.78,0.1,0.23,247,1.3,47,6,32,31,88,92,12,8.4,324,528,17,67,10,4,24,18,37,8.67,2.53
1570,1790,16.13,5.87,2.41,1.47,5.26,2.3,1.82,0.1,0.24,257,1.3,52,7,34,33,90,94,12,8.7,373,506,17,67,9,3,24,20,38,9.92,2.74
1580,1800,16.17,5.47,2.24,1.38,5.09,2.35,1.72,0.12,0.22,237,1.2,49,6,33,30,82,87,12,8.4,363,519,16,63,8,3,22,18,36,9.67,2.62
1590,1810,16.21,5.34,2.21,1.32,5.91,2.06,1.64,0.09,0.21,234,1.2,48,6,30,29,75,84,8,7.9,393,491,15,60,7,2,21,17,34,11.75,2.67
1599,1819,16.25,6.24,2.59,1.45,5.01,2.16,1.93,0.1,0.25,276,1.4,56,7,34,34,88,96,12,9,372,533,17,69,9,1,25,18,39,10.92,2.51
1610,1830,16.29,5.64,2.49,1.39,5.15,2.21,1.75,0.09,0.23,248,1.3,48,7,30,31,81,90,13,8.4,367,521,16,66,8,3,23,17,36,9.25,2.53
1620,1840,16.33,5.14,2.32,1.25,5.86,2.03,1.58,0.09,0.21,228,1.1,45,6,28,29,76,82,12,7.5,362,452,14,60,9,2,21,15,32,8.42,2.51
1630,1850,16.37,6.11,2.51,1.4,4.18,2.04,1.89,0.09,0.25,271,1.3,56,7,33,34,86,95,12,9,310,494,17,70,8,2,25,19,39,7.92,2.69
1640,1860,16.41,5.82,2.46,1.36,4.54,2.24,1.81,0.09,0.24,247,1.3,52,6,31,31,79,90,9,8.5,311,473,17,67,9,2,23,17,36,7.17,2.46
1649,1869,16.45,5.86,2.4,1.39,4.96,2.03,1.82,0.09,0.24,343,1.3,52,7,32,31,79,92,11,8.7,348,490,17,67,7,2,24,18,38,10.83,2.41
1660,1880,16.49,6.19,2.5,1.46,3.63,2.15,1.9,0.1,0.25,246,1.4,48,7,33,32,83,95,12,9.3,283,507,18,75,9,1,26,19,40,6,2.53
1670,1890,16.52,6.11,2.56,1.43,4.12,2.12,1.9,0.09,0.25,256,1.4,52,7,33,34,84,96,11,9,298,492,17,72,8,1,25,19,40,7.42,2.52
1680,1900,16.56,6.14,2.59,1.45,5.17,1.96,1.89,0.09,0.24,257,1.4,54,7,34,34,86,95,10,9.1,363,502,17,70,10,2,25,19,40,11,2.56
1690,1910,16.6,5.87,2.5,1.47,4.21,2.27,1.83,0.09,0.23,254,1.3,47,7,32,33,83,95,13,8.9,322,486,17,68,14,1,24,19,40,9.08,2.4
1699,1919,16.63,6.25,2.64,1.47,3.08,2.25,1.96,0.09,0.25,267,1.4,52,7,34,35,88,100,12,9.1,266,492,17,71,16,2,25,20,40,4.92,2.51
1710,1930,16.67,5.79,2.25,1.31,5.95,1.89,1.8,0.09,0.23,253,1.2,43,6,30,30,78,85,11,8.4,373,508,16,67,11,2,24,18,36,10,2
1720,1940,16.7,6.62,2.83,1.49,5.08,2.2,2.06,0.1,0.27,287,1.4,51,8,36,35,92,98,16,9.4,378,542,18,75,15,3,27,21,41,10,2.22
1730,1950,16.74,6.2,2.56,1.42,4.34,2.05,1.93,0.09,0.26,270,1.3,45,7,36,34,90,92,13,9,334,505,17,71,12,2,25,18,39,8.75,2.58
1740,1960,16.77,6.55,2.62,1.48,3.42,2.09,2.02,0.1,0.27,273,1.3,46,8,38,36,94,99,12,9.3,291,518,18,75,14,2,27,20,41,6.08,2.16
1749,1969,16.81,6.07,2.58,1.38,4.94,2.05,1.86,0.09,0.25,266,1.3,50,7,33,32,84,90,10,8.9,343,497,18,71,19,2,24,17,38,6.17,2
1760,1980,16.84,5.78,2.63,1.42,2.97,2.36,1.83,0.09,0.24,272,1.2,50,7,33,32,86,93,9,8.5,260,494,16,66,21,3,24,16,37,4.83,2.15
1770,1990,16.88,5.7,2.35,1.42,4.3,2.3,1.78,0.09,0.24,285,1.3,46,7,32,32,83,88,9,8.7,330,489,17,67,13,4,24,17,37,9.25,2.24
1780,2000,16.91,5.85,2.39,1.43,4.15,2.26,1.83,0.08,0.24,274,1.3,42,7,35,36,83,88,9,8.7,323,470,17,70,8,2,25,18,38,9.25,1.95
1790,2010,16.94,6.07,2.52,1.41,4.59,2.11,1.92,0.09,0.25,268,1.3,51,7,34,34,88,92,8,8.9,332,496,17,72,6,3,24,18,39,7.83,2.2
1799,2019,16.97,6.52,2.81,1.48,3.53,2.36,2.02,0.1,0.27,280,1.4,54,7,37,37,93,100,13,9.6,293,492,18,74,9,2,26,20,42,6.5,3.15
1810,2030,17.01,5.6,2.37,1.43,1.92,2.59,1.77,0.08,0.24,240,1.2,48,6,36,35,83,91,9,8.2,209,433,16,68,14,2,23,16,36,1.92,2.17
1820,2040,17.04,5.54,2.24,1.42,5.41,2.36,1.72,0.09,0.22,264,1.3,49,7,34,36,86,89,8,8.5,375,460,16,65,10,3,23,17,37,11.58,2.43
1830,2050,17.07,6.16,2.39,1.47,5.96,2.13,1.94,0.09,0.24,260,1.3,47,7,35,35,95,94,11,9.1,410,509,17,71,9,3,25,20,41,12.75,2.29
1840,2060,17.1,6,2.61,1.47,3.21,2.39,1.91,0.1,0.25,245,1.3,50,7,39,38,95,99,17,8.8,285,472,16,71,13,2,24,20,40,5.67,2.5
1849,2069,17.13,6.19,2.49,1.41,5.7,2.21,1.95,0.1,0.25,271,1.3,52,8,35,35,90,95,14,9,396,517,17,69,10,2,24,19,40,10.42,2.13
1860,2080,17.16,6.36,2.81,1.49,5.06,2.35,1.96,0.1,0.27,276,1.3,52,8,41,39,94,99,17,9.3,375,510,17,73,14,2,26,19,40,9.25,2.2
1870,2090,17.19,5.61,2.41,1.34,6.09,2.18,1.79,0.09,0.22,252,1.3,48,6,33,33,85,87,12,8.4,386,457,16,65,14,2,23,18,37,8.92,2.27
1880,2100,17.22,5.9,2.33,1.4,4.83,2.32,1.86,0.09,0.24,265,1.2,48,7,35,36,87,92,10,8.6,334,470,16,67,13,2,24,19,38,9.17,2.4
1890,2110,17.24,5.55,2.32,1.39,4.88,2.43,1.75,0.09,0.23,269,1.2,48,6,34,33,84,87,7,8.5,349,466,16,64,12,2,23,16,37,10.08,2.33
1899,2119,17.27,5.32,2.3,1.27,2.3,2.72,1.72,0.09,0.22,191,1.1,48,6,35,37,83,90,7,7.7,210,409,14,62,21,2,22,17,35,0,2.24
1910,2130,17.3,5.15,2.29,1.47,1.07,3.11,1.68,0.08,0.22,224,1.2,51,6,33,35,78,93,7,7.6,174,405,14,65,15,3,22,18,35,0,2.52
