depth_cmJPC56,depth_cmGGC55,age_calkaBP,Al%-s,Fe%-s,Mg%-s,Ca%-s,Na%-s,K%-s,P%-s,Ti%-s,Mn ppm,Be ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,V ppm,Zn ppm,As ppm,Sc ppm,Sr ppm,Ba ppm,Y ppm,Zr ppm,Mo ppm,Cd ppm,La ppm,Pb ppm,Li ppm,carb%-s,toc%
229,449,6.99,4.02,1.62,1.42,1.54,3.92,1.21,0.07,0.18,166,1.3,42,5,31,27,86,86,5,6.1,164,384,10.6,59.7,8,2,14.3,9,30,2,2.68
239,459,7.09,4.73,1.66,1.58,1.03,5.14,1.46,0.08,0.19,168,1.1,42,6,35,31,99,84,13,7.2,153,325,12,61,10,2,17,14,30,0,2.72
259,479,7.3,4.99,1.77,1.41,1.06,3.36,1.48,0.08,0.2,190,1.1,46,6,38,36,109,91,10,7.5,160,424,12,63,8,2,17,14,32,0.33,3.06
269,489,7.39,5.04,1.91,1.58,2,3.84,1.54,0.08,0.21,212,1.5,47,6,36,32,99,95,7,7.5,191,433,13.8,70.5,7,2,16.9,11,38,2,3.17
279,499,7.48,4.45,1.54,1.37,1.14,4.26,1.38,0.06,0.17,158,1,39,5,34,29,90,77,8,6.8,152,506,12,58,8,2,15,12,29,0.75,2.97
289,509,7.58,4.54,1.57,1.41,0.9,4.45,1.42,0.09,0.18,154,1,41,6,34,30,90,81,10,6.9,147,393,12,62,9,2,16,13,30,0,2.9
298,518,7.66,4.25,1.65,1.45,1.48,3.98,1.34,0.08,0.18,180,1.3,43,5,32,27,84,84,6,6.5,164,374,11.8,58.6,7,2,14.1,9,32,1.42,2.92
309,529,7.76,4.74,1.73,1.43,0.89,4.17,1.48,0.08,0.19,169,1.1,44,6,36,30,97,86,9,7.4,148,403,13,64,8,2,17,14,31,0,4.01
319,539,7.85,4.78,1.67,1.5,0.86,4.55,1.51,0.07,0.19,164,1,45,6,36,33,102,87,10,7.3,144,418,11,63,9,2,16,14,32,0,4.91
329,549,7.94,4.28,1.77,1.52,3.52,4.08,1.32,0.08,0.19,206,1.4,43,5,33,30,82,80,5,7.2,229,342,13.9,63.9,8,1,15.4,8,31,6.92,2.7
339,559,8.03,4.5,1.64,1.42,1.44,4.54,1.41,0.07,0.17,164,0.9,39,5,35,29,98,82,9,6.3,165,354,9,55,8,2,14,13,29,1.58,2.49
349,569,8.12,5.04,1.77,1.52,1.52,4.12,1.52,0.08,0.19,180,1,46,6,37,30,104,90,11,7.6,174,368,13,64,8,2,17,14,32,1.33,3.17
359,579,8.21,5,1.98,1.57,1.12,3.71,1.48,0.08,0.22,197,1.6,45,7,36,35,101,98,6,7.6,166,438,12,74.2,9,2,16.4,10,36,0.25,2.98
369,589,8.3,4.84,1.91,1.63,1.25,4.96,1.68,0.07,0.19,172,1,40,6,34,31,101,87,11,7,176,342,11,59,8,2,17,13,30,0.58,2.76
379,599,8.39,4.78,1.91,1.63,1.16,4.74,1.65,0.06,0.19,177,1,38,6,34,31,98,91,9,7.1,169,433,10,60,9,2,17,14,30,0.5,2.56
389,609,8.48,3.96,1.53,1.3,1.2,3.71,1.24,0.06,0.17,153,1.2,34,5,27,25,75,77,6,5.8,141,274,9.8,57.7,7,1,12.9,9,28,1.08,2.53
399,619,8.57,4.84,1.85,1.61,0.97,4.59,1.66,0.07,0.19,163,1.1,43,6,36,32,106,86,10,7.1,164,385,11,61,8,3,18,14,31,0,2.96
409,629,8.66,4.67,1.84,1.42,3.13,3.76,1.57,0.07,0.18,183,1,37,5,34,31,93,76,9,7,238,410,12,58,7,2,17,13,29,3.92,2.6
421,641,8.76,3.95,1.56,1.42,3.98,4.04,1.25,0.08,0.17,182,1.3,41,5,31,31,77,76,6,6.3,249,484,12.9,58.7,10,2,14.5,8,30,6.5,2.57
429,649,8.83,5.25,1.96,1.56,1.7,4.22,1.73,0.07,0.19,184,1.1,39,6,34,30,105,90,10,7.7,191,472,13,65,8,1,20,13,32,1.83,2.55
439,659,8.92,4.99,1.96,1.65,1.17,4.7,1.67,0.08,0.2,182,1.1,48,6,40,34,111,94,10,7.5,175,440,12,69,10,2,20,13,30,0.17,2.91
449,669,9,5.29,2.01,1.6,1.08,3.74,1.65,0.08,0.22,198,1.6,49,6,37,35,97,94,7,7.6,169,449,12.3,74.6,8,3,17.2,12,39,0.33,3.07
459,679,9.09,4.82,1.86,1.61,1.16,4.54,1.63,0.09,0.18,170,1.1,41,6,37,33,101,95,11,7.2,168,346,12,59,8,6,19,14,31,0.25,3.17
469,689,9.18,5.09,2.08,1.61,4.17,4.34,1.75,0.09,0.19,209,1.1,43,6,40,32,100,87,11,7.6,276,432,13,62,8,2,19,13,33,8.25,2.71
479,699,9.26,4.59,1.72,1.55,1.4,4.29,1.41,0.08,0.2,181,1.4,45,6,34,33,91,89,7,6.7,165,303,11.7,65.4,9,2,15.5,11,32,1.08,3.04
489,709,9.34,4.05,1.57,1.46,0.99,5.05,1.42,0.06,0.16,145,0.8,39,5,35,31,86,86,13,5.9,143,314,10,54,9,2,16,13,24,0,3.07
499,719,9.43,4.8,2,1.67,2.14,5.31,1.72,0.07,0.19,191,1,40,6,35,33,87,90,13,7.2,213,423,12,60,8,2,18,13,30,2.42,2.56
509,729,9.51,5.65,2.14,1.65,2.03,3.7,1.72,0.1,0.24,226,1.7,47,7,38,36,111,102,7,8.6,209,526,15.7,85.2,8,2,19.6,13,42,2.75,3.74
519,739,9.6,4.99,1.95,1.64,1.23,5.01,1.65,0.11,0.19,174,1,52,6,48,40,104,104,13,7.6,184,466,14,64,10,3,20,16,30,0,3.3
529,749,9.68,5.48,2.09,1.68,3.86,4.47,1.85,0.11,0.2,206,1.2,45,6,38,34,99,93,11,8.6,292,503,15,65,7,2,21,15,35,6.42,3.01
539,759,9.76,5.73,2.21,1.68,2.01,3.63,1.7,0.09,0.25,222,1.7,46,7,37,38,94,101,8,8.4,220,393,14.3,84,8,1,18.7,12,39,2.33,2.73
550,770,9.85,6.02,2.38,1.77,2.63,4.53,2.03,0.08,0.23,225,1.3,48,7,44,37,106,105,13,8.9,243,489,14,74,8,2,22,17,37,3.08,3.01
560,780,9.93,5.83,2.61,1.71,3.08,4.42,1.93,0.08,0.23,248,1.2,45,8,44,42,97,102,12,8.5,274,501,14,74,9,2,21,15,35,4.17,2.76
570,790,10.02,5.59,2.1,1.65,1.63,3.8,1.75,0.07,0.23,221,1.7,44,7,38,36,96,99,8,8,186,438,13.1,81.8,8,2,18.8,12,42,1.5,2.96
579,799,10.09,5.75,2.21,1.75,1.46,4.89,1.95,0.12,0.22,205,1.3,51,7,44,40,116,112,12,8.8,215,529,14,76,9,3,21,17,36,0,3.24
589,809,10.17,4.61,1.77,1.56,1.59,4.99,1.67,0.07,0.17,173,1,37,5,37,33,85,83,9,6.6,180,412,10,57,7,2,17,14,30,1,2.75
599,819,10.25,5.67,2.27,1.62,2.76,3.79,1.74,0.08,0.24,232,1.6,49,7,37,36,94,97,9,8.2,247,464,13.6,76.9,8,1,18.2,12,40,4,2.85
609,829,10.33,5.86,2.31,1.73,2.4,4.15,2.01,0.07,0.22,232,1.3,45,7,42,36,102,100,13,8.6,228,522,14,72,7,2,22,15,39,3.08,2.98
619,839,10.41,5.29,2.08,1.66,2.88,4.58,1.79,0.06,0.2,204,1.1,43,6,40,36,88,87,11,7.8,244,461,13,65,7,1,19,14,33,3.92,2.87
629,849,10.49,4.9,1.9,1.56,3.29,4.27,1.53,0.11,0.21,209,1.5,49,6,39,36,84,90,6,7.3,253,420,12.6,71.6,8,1,16.8,10,36,5.08,3.05
639,859,10.57,6.17,2.41,1.73,4.71,4.4,2.08,0.08,0.23,242,1.3,49,7,41,40,109,100,11,9.2,350,628,15,76,7,2,23,16,39,0,3.9
649,869,10.64,6.61,2.67,1.8,5.16,4.1,2.19,0.09,0.25,274,1.2,48,8,40,39,105,110,12,9.5,380,588,15,78,8,1,23,16,40,8.67,2.61
659,879,10.72,5.04,1.93,1.58,1.93,4.17,1.62,0.07,0.21,197,1.5,46,6,37,35,93,90,7,7.2,193,401,12,70.6,8,2,16.7,12,37,2,2.93
669,889,10.8,6,2.27,1.74,1.8,4.89,2.09,0.11,0.22,207,1.3,49,7,44,39,106,104,15,8.5,223,529,14,70,8,2,23,18,39,1.17,3.24
679,899,10.88,5.87,2.37,1.74,4.1,4.35,1.98,0.09,0.22,235,1.2,48,7,40,39,108,104,12,8.9,305,565,14,73,8,2,22,16,36,6.58,2.82
689,909,10.95,5.35,2.09,1.59,3.13,3.89,1.63,0.1,0.23,222,1.6,45,6,37,35,100,94,8,8,262,465,14.9,78.8,7,2,19,11,38,5.25,2.75
699,919,11.03,5.2,2.03,1.66,3.22,4.9,1.83,0.08,0.2,199,1.1,46,6,36,33,99,139,9,7.8,268,494,13,64,8,2,20,15,34,5.08,2.68
712,932,11.13,5.32,2.1,1.54,4.51,3.82,1.8,0.08,0.2,215,1.1,49,6,37,36,107,96,9,8.3,310,583,14,67,6,2,20,15,33,8.08,2.76
720,940,11.19,5.6,2.14,1.49,2.44,3.21,1.71,0.08,0.24,232,1.7,45,7,34,31,96,95,7,8.3,228,475,15,82.8,7,1,19.6,12,39,3.42,2.55
729,949,11.26,5.51,2.08,1.6,2.74,4.36,1.83,0.12,0.21,212,1.2,48,7,40,35,94,93,11,8.4,249,478,16,69,6,2,22,15,33,3.42,2.86
739,959,11.33,6.41,2.56,1.75,3.87,4.34,2.09,0.08,0.25,254,1.2,48,8,43,39,107,106,11,9.5,334,576,16,78,7,2,24,16,38,6.17,2.72
749,969,11.4,6.01,2.27,1.58,2.67,3.57,1.88,0.08,0.26,242,1.8,50,7,38,35,97,100,8,8.5,240,481,14.6,86.5,7,1,20.4,13,43,3.25,2.69
760,980,11.49,4.91,2.12,1.58,2.1,5.01,1.74,0.06,0.19,189,1,48,6,41,32,97,89,13,7,198,438,11,63,8,2,19,15,31,1.92,2.69
770,990,11.56,5.7,2.27,1.6,5.32,4.28,1.93,0.08,0.21,234,1.3,53,6,42,38,106,94,14,9.2,359,586,15,72,6,2,22,16,35,10,3.01
780,1000,11.63,6.1,2.3,1.62,2.85,3.5,1.88,0.08,0.26,252,1.8,51,7,38,39,102,104,8,8.9,248,492,15.4,90.6,7,3,21,13,45,4.58,2.73
790,1010,11.7,5.22,1.96,1.57,1.38,4.62,1.84,0.07,0.19,188,1.2,52,6,40,34,95,89,9,7.7,180,485,12,65,7,3,20,16,33,0.42,3.11
799,1019,11.77,6.26,2.43,1.71,1.49,4.25,2.11,0.08,0.25,221,1.3,54,8,40,39,115,112,12,9.3,218,544,15,80,7,2,24,17,38,0.5,2.71
809,1029,11.84,5.28,1.98,1.52,1.27,3.87,1.66,0.08,0.23,203,1.6,51,6,36,34,96,93,7,7.7,179,425,12.9,75.9,7,3,17.7,12,38,0.25,2.66
819,1039,11.91,6.1,2.29,1.73,1.84,4.7,2.06,0.08,0.24,229,1.3,57,7,43,38,114,104,10,9,218,529,14,76,7,5,22,16,37,1.33,2.65
829,1049,11.98,5.2,2.01,1.59,2.71,5.01,1.85,0.07,0.19,211,1.1,49,6,37,33,91,89,12,7.8,241,497,14,61,7,3,20,15,31,3.5,2.63
839,1059,12.05,4.94,1.78,1.44,1.78,4.3,1.67,0.08,0.2,195,1.6,47,6,35,32,89,87,8,7.3,183,383,13.5,69.7,7,3,18.2,14,37,1.83,2.77
849,1069,12.12,2.66,1.01,0.82,0.56,2.76,0.92,0.05,0.1,88,0.6,28,3,26,20,54,52,7,4,92,284,8,33,5,4,12,9,15,0,2.98
859,1079,12.19,6.05,2.57,1.74,1.44,4.99,2.05,0.08,0.23,210,1.3,51,7,45,37,116,102,14,9.1,217,488,15,74,10,3,23,17,35,0,2.58
870,1090,12.27,5.53,2.07,1.51,2.68,3.74,1.72,0.17,0.24,204,1.6,41,6,34,32,94,94,9,8.3,265,489,15.7,80.2,9,2,20.1,13,39,3.75,2.7
880,1100,12.34,5.35,1.89,1.52,1.9,4.49,1.89,0.09,0.19,178,1.2,46,6,42,34,91,89,11,7.4,206,489,12,61,8,4,20,15,33,2,2.92
890,1110,12.41,5.75,2.23,1.5,6.33,3.75,2.01,0.09,0.22,218,1.2,44,7,36,35,94,98,15,8.5,427,563,14,71,7,2,23,15,37,12.25,2.61
